Data provider	Dataset	Collector name	Field number	GUID	Date collected	Institution code	Collection code	Catalogue No	Basis of record	Image url	Last indexed	Identifier	Identification date	Scientific name	Author	Scientific name (interpreted)	Kingdom	Phylum	Class	Order	Family	Genus	Country	Country (interpreted)	Locality	County	Continent or Ocean	State/Province	Region	Provider country	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id	Min depth	Max depth	Max depth	Min altitude	Max altitude	Altitude precision	GBIF portal url	GBIF webservice url	
European Environment Agency	EUNIS					EEA	EUNIS2	6Vph3rimvhDl8UFNbskoKg==	Unknown		2007-10-10 02:05:17.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				43.0	28.0	70000	48088	0							http://data.gbif.org/occurrences/22542866	http://data.gbif.org/ws/rest/occurrence/get?key=22542866
European Environment Agency	EUNIS					EEA	EUNIS2	BES2DGh6Uz+/I+cucv8z4g==	Unknown		2007-10-10 02:05:18.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		44.0	3.0	70000	48423	0							http://data.gbif.org/occurrences/22543103	http://data.gbif.org/ws/rest/occurrence/get?key=22543103
European Environment Agency	EUNIS					EEA	EUNIS2	dOWTg4p0Ht8cL0cqT/kp+Q==	Unknown		2007-10-10 02:05:20.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Italy			Europe		Southern Europe		44.0	11.0	70000	48431	0							http://data.gbif.org/occurrences/22543299	http://data.gbif.org/ws/rest/occurrence/get?key=22543299
European Environment Agency	EUNIS					EEA	EUNIS2	PmPcD1kKkThqPRK0jdul+Q==	Unknown		2007-10-10 02:05:26.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				44.0	27.0	70000	48447	0							http://data.gbif.org/occurrences/22544419	http://data.gbif.org/ws/rest/occurrence/get?key=22544419
European Environment Agency	EUNIS					EEA	EUNIS2	WS37/KApggxUChrotxQIsQ==	Unknown		2007-10-10 02:05:54.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				45.0	8.0	70000	48788	0							http://data.gbif.org/occurrences/22545032	http://data.gbif.org/ws/rest/occurrence/get?key=22545032
European Environment Agency	EUNIS					EEA	EUNIS2	LgXGGueeO9vbX9zDW8VZ6A==	Unknown		2007-10-10 02:05:24.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Italy			Europe		Southern Europe		45.0	12.0	70000	48792	0							http://data.gbif.org/occurrences/22544123	http://data.gbif.org/ws/rest/occurrence/get?key=22544123
European Environment Agency	EUNIS					EEA	EUNIS2	j7MtGzBqZNmGXyk2E8zuIg==	Unknown		2007-10-10 02:05:22.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				45.0	13.0	70000	48793	0							http://data.gbif.org/occurrences/22543909	http://data.gbif.org/ws/rest/occurrence/get?key=22543909
European Environment Agency	EUNIS					EEA	EUNIS2	gzEVpXOpWyUqDyT9B9serA==	Unknown		2007-10-10 02:05:21.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				45.0	28.0	70000	48808	0							http://data.gbif.org/occurrences/22543666	http://data.gbif.org/ws/rest/occurrence/get?key=22543666
European Environment Agency	EUNIS					EEA	EUNIS2	JNXswhNL4xc/rZuOlzKUgg==	Unknown		2007-10-10 02:05:23.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		46.0	1.0	70000	49141	0							http://data.gbif.org/occurrences/22543972	http://data.gbif.org/ws/rest/occurrence/get?key=22543972
European Environment Agency	EUNIS					EEA	EUNIS2	9Bcx7C1Ua3wpdN1VPpVR/A==	Unknown		2007-10-10 02:05:18.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		46.0	3.0	70000	49143	0							http://data.gbif.org/occurrences/22542970	http://data.gbif.org/ws/rest/occurrence/get?key=22542970
