Locality	CollectionCode	DecimalLongitude	ScientificName	MinimumElevationInMeters	GUID	Kingdom	InstitutionCode	BasisOfRecord	Class	Country	StateProvince	CatalogNumber	Genus	SpecificEpithet	Order	DecimalLatitude	Family	InfraspecificEpithet	NomenclaturalCode	Phylum	Continent	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Salvia argentea L.	2520	f09a2c14-2894-4a1d-a047-537ac0f50425-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1307	Salvia	argentea	Lamiales	37.90000	Lamiaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Veronica thymoides subsp. hasandaghensis M.A.Fischer	2520	200bd45c-cf0a-4314-9ff5-b185cea8ce2a-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1308	Veronica	thymoides	Scrophulariales	37.90000	Scrophulariaceae	hasandaghensis	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Polygonum arenastrum Bor.	2520	30b8e0af-1cb7-4f8a-983b-e1f456fe9196-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1309	Polygonum	arenastrum	Polygonales	37.90000	Polygonaceae		ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2500m	B	29.63000	Arabis alpina subsp. brevifolia (DC.) Greuter & Burdet	2500	d843cc25-3f8f-4d45-b9b3-35e15065181d-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	131	Arabis	alpina	Capparales	36.56300	Brassicaceae	brevifolia	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Alyssum aurantiacum Boiss.	2520	e17a5ad2-11da-42f0-a112-17d972f3a656-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1310	Alyssum	aurantiacum	Capparales	37.90000	Brassicaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Tanacetum argenteum subsp. argenteum	2520	0842a40c-7844-4bab-bac5-af78a79da151-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1311	Tanacetum	argenteum	Asterales	37.90000	Asteraceae	argenteum	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Asteraceae spec.	2520	4ca1112c-2378-4244-82ff-47bb4af9d7fb-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1312	Asteraceae	spec.	Asterales	37.90000	Asteraceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Galium incanum subsp. elatius (Boiss.) Ehrend.	2520	79d48a3d-a870-45db-8a20-786eb4329742-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1313	Galium	incanum	Rubiales	37.90000	Rubiaceae	elatius	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Galium cilicicum Boiss.	2520	b984f362-cdfe-4972-a435-0a44e2d70c78-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1314	Galium	cilicicum	Rubiales	37.90000	Rubiaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Acantholimon lycaonicum Boiss. & Heldr.	2520	100e99cd-98a9-4ec2-8e63-4a7e422dfac5-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1315	Acantholimon	lycaonicum	Plumbaginales	37.90000	Plumbaginaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Astragalus condensatus Ledeb.	2520	56207fc5-a748-468c-98ec-a75d27c9abd3-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1316	Astragalus	condensatus	Fabales	37.90000	Fabaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Astragalus condensatus Ledeb.	2520	fe89e59a-8db4-44db-9c84-735a970edcba-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1317	Astragalus	condensatus	Fabales	37.90000	Fabaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2520m	B	35.15200	Aurinia rupestris subsp. cyclocarpa	2520	31b5af06-474b-479f-b5b2-53a14f32be3e-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1318a	Aurinia	rupestris	Capparales	37.90000	Brassicaceae	cyclocarpa	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Carex spec.	2450	439aab94-07af-4bb6-8991-7527da299857-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1318b	Carex	spec.	Cyperales	37.90000	Cyperaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Festuca pinifolia var. pinifolia	2450	eadeef81-75e6-498f-914e-85e31e045084-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1319	Festuca	pinifolia	Cyperales	37.90000	Poaceae		ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2500m	B	29.63000	Centaurea drabifolia subsp. austro-occidentalis Wagenitz	2500	196fd29f-fbff-418f-8843-f282907d14ff-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	132	Centaurea	drabifolia	Asterales	36.56300	Asteraceae	austro-occidentalis	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Acantholimon glumaceum (Jaub. & Spach) Boiss.	2450	7d2bbe27-12ce-4134-832b-b419919b2ee1-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1320	Acantholimon	glumaceum	Plumbaginales	37.90000	Plumbaginaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Dianthus goerkii Hartvig & Strid	2450	787ebf9c-4efa-4d09-b775-f2e54e1efbb2-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1321	Dianthus	goerkii	Caryophyllales	37.90000	Caryophyllaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Stylidium pilosum Labill.	2450	f191dfd2-d009-4868-9c21-8cbe88010614-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1322	Stylidium	pilosum	Cyperales	37.90000	Poaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2310m	B	35.15200	noch unbestimmt !!!	2310	0ed8a357-ddc8-4327-9402-f321b0691eba-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1322x122	noch unbestimmt !!!			37.90000	unbekannt		ICBN		Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Astragalus lanatus Lab.	2450	919f03b0-381e-4333-ba6a-0bb9da086592-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1323	Astragalus	lanatus	Fabales	37.90000	Fabaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2310m	B	35.15200	Astragalus haussknechtii Bunge	2310	18e16cd7-aed6-4184-89b8-41e2bac05a5b-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1323x122	Astragalus	haussknechtii	Fabales	37.90000	Fabaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Thesium billardieri Boiss.	2450	ecd32fcc-2515-4fea-8ebc-e768bb83ac8e-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1324	Thesium	billardieri	Santalales	37.90000	Santalaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2310m	B	35.15200	Thesium billardieri Boiss.	2310	7fb333d8-ea7a-4f18-8c2c-13564e4befce-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1324x122	Thesium	billardieri	Santalales	37.90000	Santalaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2400m	B	35.15200	Campanula stricta var. libanotica (A. DC.) Boiss.	2400	2400e23a-ef17-4771-a65d-7f69957f17d2-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1325	Campanula	stricta	Campanulales	37.90000	Campanulaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2400m	B	35.15200	Aethionema iberideum (Boiss.) Boiss.	2400	ed7c25ae-1b3f-4930-8d55-12f1f799a26d-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1326	Aethionema	iberideum	Capparales	37.90000	Brassicaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2400m	B	35.15200	Aethionema stylosum DC.	2400	bccb6429-0f74-4003-8185-55d4096d2c7d-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1327	Aethionema	stylosum	Capparales	37.90000	Brassicaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Festuca valesiaca Schleicher ex Gaudin	2450	06cdbd94-fbd4-4f14-8d83-dcb1b308236e-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1328	Festuca	valesiaca	Cyperales	37.90000	Poaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Festuca anatolica subsp. anatolica	2450	ddaf8b96-bd09-4e3f-9ffe-f4df9ee2e686-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1329	Festuca	anatolica	Cyperales	37.90000	Poaceae	anatolica	ICBN	Magnoliophyta	Asia	
Lycian Akdaglari above Gömbe, above Subasi Yayla, 2500m	B	29.63000	Geranium tuberosum subsp. tuberosum	2500	733f7e41-7857-42a4-b3c0-e63a44cb8b51-FOO	Plantae	BGBM	PreservedSpecimen		TR	Mugla	133	Geranium	tuberosum	Geraniales	36.56300	Geraniaceae	tuberosum	ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2450m	B	35.15200	Allium tauricola Boiss.	2450	2441389c-daa6-4acc-97a8-acfcd9ce74e1-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1330	Allium	tauricola	Liliales	37.90000	Liliaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2400m	B	35.15200	Aethionema iberideum (Boiss.) Boiss.	2400	ca38a341-097c-4533-aeb2-4193cdb7f149-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1331	Aethionema	iberideum	Capparales	37.90000	Brassicaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2400m	B	35.15200	Koeleria macrantha (Ledeb.) Schult.	2400	7aa34ae2-7af1-489a-9f86-b45fa8f01777-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1332	Koeleria	macrantha	Cyperales	37.90000	Poaceae		ICBN	Magnoliophyta	Asia	
Aladaglari, northern part (?Black Aladaglari?), 2400m	B	35.15200	Erodium cedrorum subsp. cedrorum	2400	f56c3d89-6874-4cc8-8750-4c6fe186b8b9-FOO	Plantae	BGBM	PreservedSpecimen		TR	Nigde	1333	Erodium	cedrorum	Geraniales	37.90000	Geraniaceae	cedrorum	ICBN	Magnoliophyta	Asia	
