Latitude	Longitude	GUID	lastModified	Family	InstitutionCode	InfraspecificEpithet	Remarks	Collector	Kingdom	Locality	Genus	InfraspecificRank	BasisOfRecord	Phylum	MinimumElevationInMeters	SpecificEpithet	Class	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	Order	Continent	CollectionCode
37.07000	28.80000	d603a184-f926-4521-8792-0b1442008433	Thu Sep 18 14:04:49 CEST 2008	Poaceae	BGBM			Markus Döring	Plantae	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Poa		PreservedSpecimen	Magnoliophyta	2180	bulbosa agg.		Poa bulbosa agg. L.	TR	1999-06-21 00:00:00.0	ICBN	106	L.	Mugla	Cyperales	Asia	B
37.42000	34.56800	be958baa-a18d-48a6-a6c3-2f9c9ccea4a6	Thu Sep 18 14:04:49 CEST 2008	Cupressaceae	BGBM	oxycedrus		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Juniperus	Subspecies	PreservedSpecimen	Pinophyta	2350	oxycedrus		Juniperus oxycedrus subsp. oxycedrus	TR	1999-07-30 00:00:00.0	ICBN	1060		Nigde	Pinales	Asia	B
37.42000	34.56800	a46b9842-aa0c-4df2-8bda-ad7509ef4f0a	Thu Sep 18 14:04:49 CEST 2008	Caryophyllaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Silene		PreservedSpecimen	Magnoliophyta	2350	pruinosa		Silene pruinosa Boiss.	TR	1999-07-30 00:00:00.0	ICBN	1061	Boiss.	Nigde	Caryophyllales	Asia	B
37.42000	34.56800	0e09309e-40fd-486d-8cd3-5fa17f60485b	Thu Sep 18 14:04:49 CEST 2008	Rubiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Galium		PreservedSpecimen	Magnoliophyta	2350	spec.		Galium spec.	TR	1999-07-30 00:00:00.0	ICBN	1062		Nigde	Rubiales	Asia	B
37.42000	34.56800	cadf6075-c28f-4253-b728-8781e0a767ef	Thu Sep 18 14:04:49 CEST 2008	Poaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Koeleria		PreservedSpecimen	Magnoliophyta	2350	macrantha		Koeleria macrantha (Ledeb.) Schult.	TR	1999-07-30 00:00:00.0	ICBN	1063	(Ledeb.) Schult.	Nigde	Cyperales	Asia	B
37.42000	34.56800	1f7a75e7-0e0d-4556-8072-4d9adeffaa10	Thu Sep 18 14:04:49 CEST 2008	Scrophulariaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, slopes along the road from Meydan to tarn Karagöl, 2720m	Verbascum		PreservedSpecimen	Magnoliophyta	2720	spec.		Verbascum spec.	TR	1999-07-31 00:00:00.0	ICBN	1065		Nigde	Scrophulariales	Asia	B
37.40400	34.55800	9f3c7c43-e951-4a13-9911-7e435f1c1831	Thu Sep 18 14:04:49 CEST 2008	Lamiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m	Marrubium		PreservedSpecimen	Magnoliophyta	2600	cephalanthum		Marrubium cephalanthum Boiss. & Noe	TR	1999-07-31 00:00:00.0	ICBN	1066	Boiss. & Noe	Nigde	Lamiales	Asia	B
37.40400	34.55800	141eac5f-6183-43cb-9843-70fa5068a8ae	Thu Sep 18 14:04:49 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m	Helichrysum		PreservedSpecimen	Magnoliophyta	2600	pallasii		Helichrysum pallasii Ledeb.	TR	1999-07-31 00:00:00.0	ICBN	1067	Ledeb.	Nigde	Asterales	Asia	B
37.40400	34.55800	72fb4ea8-9e25-4835-8b6b-a30993e942d7	Thu Sep 18 14:04:49 CEST 2008	Caryophyllaceae	BGBM	oreina		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Minuartia	Subspecies	PreservedSpecimen	Magnoliophyta	2650	recurva		Minuartia recurva subsp. oreina (Mattf.) McNeill	TR	1999-08-01 00:00:00.0	ICBN	1068	(Mattf.) McNeill	Nigde	Caryophyllales	Asia	B
37.40400	34.55800	66544a60-18ae-42cb-bba4-cf0c20df9162	Thu Sep 18 14:04:49 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Tripleurospermum		PreservedSpecimen	Magnoliophyta	2650	kotschyi		Tripleurospermum kotschyi (Boiss.) E.Hossain	TR	1999-08-01 00:00:00.0	ICBN	1069	(Boiss.) E.Hossain	Nigde	Asterales	Asia	B
