"ID","NOMENCLATURAL_CODE","LABEL","RANK","LOCAL_ID","GUID","LINK","NOTES","TAXONOMIC_STATUS","NOMENCLATURAL_STATUS","NOMENCLATURAL_REFERENCE","ACCEPTED_TAXON_ID","ACCEPTEDTAXON","TAXONOMIC_PARENT_ID","PARENTTAXON"
"33032","icbn","Calendula arvensis subsp. micrantha (Tineo & Guss.) Arcang.","Subspecies","30","801cb82a-3663-4010-a10a-5bc94e7d9d9c","http://localhost:8080/ipt/10/801cb82a-3663-4010-a10a-5bc94e7d9d9c/detail.html",,"Heterotypic Synonym",,"""Comp. Fl. Ital., ed. 2: 695. 1894""","7","Calendula arvensis (Vaill.) L.","NULL",
"33033","icbn","Calendula arvensis subsp. sublanata (Rchb. f.) Nyman","Subspecies","31","da29bb60-8c09-4ba8-8547-4b78eb565bc3","http://localhost:8080/ipt/10/da29bb60-8c09-4ba8-8547-4b78eb565bc3/detail.html",,"Heterotypic Synonym",,"Consp. Fl. Eur.: 398. 1879","7","Calendula arvensis (Vaill.) L.","NULL",
"33034","icbn","Calendula sancta subsp. crista-galli (Viv.) Gallego & Talavera","Subspecies","32","524dec72-1006-4d52-8bdd-62265b5af3aa","http://localhost:8080/ipt/10/524dec72-1006-4d52-8bdd-62265b5af3aa/detail.html",,"Heterotypic Synonym",,"in Lagascalia 11: 103. 1983","7","Calendula arvensis (Vaill.) L.","NULL",
"33035","icbn","Calendula officinalis var. hydruntina Fiori","Variety","33","55a5798c-f391-4a23-aeb6-4af974fad672","http://localhost:8080/ipt/10/55a5798c-f391-4a23-aeb6-4af974fad672/detail.html",,"Heterotypic Synonym",,"""in Fiori & Paoletti, Fl. Italia 3: 298. 1904""","7","Calendula arvensis (Vaill.) L.","NULL",
"33036","icbn","Calendula arvensis subsp. communis","NULL","34","c8e87f20-868c-4a48-86f6-c7f1533bff59","http://localhost:8080/ipt/10/c8e87f20-868c-4a48-86f6-c7f1533bff59/detail.html",,,"nom. inval.",,"7","Calendula arvensis (Vaill.) L.","NULL",
"33037","icbn","Calendula persica subsp. gracilis","NULL","35","6858e498-e73b-4d49-979a-6059f9028d40","http://localhost:8080/ipt/10/6858e498-e73b-4d49-979a-6059f9028d40/detail.html",,,"nom. inval.",,"7","Calendula arvensis (Vaill.) L.","NULL",
"33038","icbn","""Calendula stellata sec. Willkomm, M. & Lange J.""","NULL","36","1eafffca-50bc-4476-9d86-e34c7cc67cad","http://localhost:8080/ipt/10/1eafffca-50bc-4476-9d86-e34c7cc67cad/detail.html",,"misapplied name",,"Prodromus florae hispanicae 2 Stuttgart 1865-1870.","7","Calendula arvensis (Vaill.) L.","NULL",
"33039","icbn","""Calendula stellata sec. Willkomm, M""","NULL","37","a6971300-5cda-44fc-951a-d29934811919","http://localhost:8080/ipt/10/a6971300-5cda-44fc-951a-d29934811919/detail.html",,"misapplied name",,"Supplementum prodromi florae hispanicae 2 Stuttgart 1893.","7","Calendula arvensis (Vaill.) L.","NULL",
"33040","icbn","""Calendula tripterocarpa sec. Tutin, T. G., Heywood, V. H., Burges, N. A., Valentine, D. H., Walters, S. M. & Webb, D. A.""","NULL","38","a30e9c31-0454-4d94-9829-303132a1932a","http://localhost:8080/ipt/10/a30e9c31-0454-4d94-9829-303132a1932a/detail.html",,"misapplied name",,"""Flora europaea 4 [Tutin, T. G., Heywood, V. H., Burges, N. A., Moore, D. M., Valentine, D. H., Walters, S. M. & Webb, D. A.] Cambridge University Press Cambridge 1976.""","7","Calendula arvensis (Vaill.) L.","NULL",
"33041","icbn","""Calendula tripterocarpa sec. Gamisans, J.""","NULL","39","69db96f2-0061-499f-864b-a64108792e72","http://localhost:8080/ipt/10/69db96f2-0061-499f-864b-a64108792e72/detail.html",,"misapplied name",,"Catalogue des plantes vasculaires de la Corse Ajaccio 1985","7","Calendula arvensis (Vaill.) L.","NULL",
"33042","icbn","""Calendula tripterocarpa sec. Jeanmonod, D. & Burdet, H. M.""","NULL","40","069d6712-f7bd-48e5-ad0a-01f7d453ea4b","http://localhost:8080/ipt/10/069d6712-f7bd-48e5-ad0a-01f7d453ea4b/detail.html",,"misapplied name",,"""Compl�ments au prodrome de la flore corse. Annexe 3 [Gamisans, J. & Jeanmonod, D.] Gen�ve 1993.""","7","Calendula arvensis (Vaill.) L.","NULL",
"33043","icbn","""Calendula tripterocarpa sec. Pignatti, S.""","NULL","41","901b5766-ae82-4744-ad32-d7ece42deeef","http://localhost:8080/ipt/10/901b5766-ae82-4744-ad32-d7ece42deeef/detail.html",,"misapplied name",,"Flora d'Italia 3 Bologna 1982.","7","Calendula arvensis (Vaill.) L.","NULL",
"33044","icbn","""Calendula tripterocarpa"""" sec. Duvigneaud, J. (1979)""","NULL","42","1c68186f-2498-491c-8c73-989ea7f33302","http://localhost:8080/ipt/10/1c68186f-2498-491c-8c73-989ea7f33302/detail.html",,"misapplied name",,"""Catalogue provisoire de la flore des Bal�ares [ed. 2] - Soc. �change Pl. Vasc. Eur. Occid. M�dit. 17, Suppl.: 1-43.""","7","Calendula arvensis (Vaill.) L.","NULL",
