ipt:coreid	DecimalLatitude	CoordinateUncertaintyInMeters	DecimalLongitude
8870	-16.1		145.3
8871	-16.1		145.3
8872	-16.1		145.3
8873	-16.1		145.3
8874	-16.1		145.3
8875	-16.1		145.3
8876	-16.1		145.3
8877	-16.1		145.3
8878	-16.1		145.3
8879	-16.1		145.3
8880	-16.1		145.3
8881	-16.1		145.3
8882	-16.1		145.3
8883	-16.1		145.3
8884	-16.1		145.3
8885	-16.1		145.3
8886	-16.9		145.7
8887	-16.9		145.7
8888	-16.9		145.7
8889	-16.9		145.7
8890	-16.9		145.7
8891	-16.9		145.7
8892	-16.9		145.7
8893	-16.9		145.7
8894	-16.1		145.3
8895	-16.1		145.3
8896	-16.1		145.3
8897	-16.1		145.3
8898	-16.1		145.3
8899	-16.1		145.3
8900	2.6		102.6
8901	2.6		102.6
8902	2.6		102.6
8903	2.6		102.6
8904	2.6		102.6
8905	2.6		102.6
8906	2.6		102.6
8907	2.6		102.6
8908	2.6		102.6
8909	2.6		102.6
8910	2.6		102.6
8911	2.6		102.6
8912	2.6		102.6
8913	2.6		102.6
8914	2.6		102.6
8915	2.6		102.6
8916	2.6		102.6
8917	2.6		102.6
8918	2.6		102.6
8919	5.4		100.4
8920	1.3		103.8
8921	2.2		102.2
8922	2.2		102.2
8923	2.2		102.2
8924	2.2		102.2
8925	2.2		102.2
8926	2.2		102.2
8927	2.2		102.2
8928	4.9		100.7
8929	4.9		100.7
8930	5.4		100.6
8931	10		123
8932	10		123
8933	10		123
8934	10		123
8935	10		123
8936	10		123
8937	-0.8		134
8938	-0.8		134
8939	4.7		115
8940	-33.9		151
8941	-16.8		145.6
8942	-16.9		145.7
8943	-1.1		136
8944	2.6		102.6
8945	2.6		102.6
8946	2.6		102.6
8947	-0.8		134
