"ID","NOMENCLATURAL_CODE","LABEL","RANK","LOCAL_ID","GUID","LINK","NOTES","TAXONOMIC_STATUS","NOMENCLATURAL_STATUS","NOMENCLATURAL_REFERENCE","ACCEPTED_TAXON_ID","ACCEPTEDTAXON","TAXONOMIC_PARENT_ID","PARENTTAXON"
"28436",,"Calendula arvensis subsp. micrantha (Tineo & Guss.) Arcang.","subspecies","30","3805f924-d950-4c88-86db-bfc38cfc9f71","http://localhost:8080/ipt/7/3805f924-d950-4c88-86db-bfc38cfc9f71/detail.html",,"Heterotypic Synonym",,"""Comp. Fl. Ital., ed. 2: 695. 1894""","7","Calendula arvensis (Vaill.) L.","NULL",
"28437",,"Calendula arvensis subsp. sublanata (Rchb. f.) Nyman","subspecies","31","491b718b-2974-4b62-ace2-214e84e7178b","http://localhost:8080/ipt/7/491b718b-2974-4b62-ace2-214e84e7178b/detail.html",,"Heterotypic Synonym",,"Consp. Fl. Eur.: 398. 1879","7","Calendula arvensis (Vaill.) L.","NULL",
"28438",,"Calendula sancta subsp. crista-galli (Viv.) Gallego & Talavera","subspecies","32","b794d511-ba28-4c3d-ba8f-03e67f926f4e","http://localhost:8080/ipt/7/b794d511-ba28-4c3d-ba8f-03e67f926f4e/detail.html",,"Heterotypic Synonym",,"in Lagascalia 11: 103. 1983","7","Calendula arvensis (Vaill.) L.","NULL",
"28439",,"Calendula officinalis var. hydruntina Fiori","variety","33","e6d62d27-20a8-4bc1-b041-862827a7d23b","http://localhost:8080/ipt/7/e6d62d27-20a8-4bc1-b041-862827a7d23b/detail.html",,"Heterotypic Synonym",,"""in Fiori & Paoletti, Fl. Italia 3: 298. 1904""","7","Calendula arvensis (Vaill.) L.","NULL",
"28440",,"Calendula arvensis subsp. communis",,"34","7eb2ec0a-e80d-4ecd-8f18-f5023ea63847","http://localhost:8080/ipt/7/7eb2ec0a-e80d-4ecd-8f18-f5023ea63847/detail.html",,,"nom. inval.",,"7","Calendula arvensis (Vaill.) L.","NULL",
"28441",,"Calendula persica subsp. gracilis",,"35","da8a703d-2d95-4fcc-adca-0cbc151ad4c8","http://localhost:8080/ipt/7/da8a703d-2d95-4fcc-adca-0cbc151ad4c8/detail.html",,,"nom. inval.",,"7","Calendula arvensis (Vaill.) L.","NULL",
"28442",,"""Calendula stellata sec. Willkomm, M. & Lange J.""",,"36","4388883e-4c7b-4379-a8e9-ca3604c8d840","http://localhost:8080/ipt/7/4388883e-4c7b-4379-a8e9-ca3604c8d840/detail.html",,"misapplied name",,"Prodromus florae hispanicae 2 Stuttgart 1865-1870.","7","Calendula arvensis (Vaill.) L.","NULL",
"28443",,"""Calendula stellata sec. Willkomm, M""",,"37","d381d9a7-fac5-4959-8070-f95ff1be6a51","http://localhost:8080/ipt/7/d381d9a7-fac5-4959-8070-f95ff1be6a51/detail.html",,"misapplied name",,"Supplementum prodromi florae hispanicae 2 Stuttgart 1893.","7","Calendula arvensis (Vaill.) L.","NULL",
"28444",,"""Calendula tripterocarpa sec. Tutin, T. G., Heywood, V. H., Burges, N. A., Valentine, D. H., Walters, S. M. & Webb, D. A.""",,"38","caf6b1b6-6e40-403f-8bd0-b3a570204c20","http://localhost:8080/ipt/7/caf6b1b6-6e40-403f-8bd0-b3a570204c20/detail.html",,"misapplied name",,"""Flora europaea 4 [Tutin, T. G., Heywood, V. H., Burges, N. A., Moore, D. M., Valentine, D. H., Walters, S. M. & Webb, D. A.] Cambridge University Press Cambridge 1976.""","7","Calendula arvensis (Vaill.) L.","NULL",
"28445",,"""Calendula tripterocarpa sec. Gamisans, J.""",,"39","585b4507-1bf7-4de3-834b-150dae35b11a","http://localhost:8080/ipt/7/585b4507-1bf7-4de3-834b-150dae35b11a/detail.html",,"misapplied name",,"Catalogue des plantes vasculaires de la Corse Ajaccio 1985","7","Calendula arvensis (Vaill.) L.","NULL",
"28446",,"""Calendula tripterocarpa sec. Jeanmonod, D. & Burdet, H. M.""",,"40","65881a38-2ec0-4bfc-8c00-d3b7e969da34","http://localhost:8080/ipt/7/65881a38-2ec0-4bfc-8c00-d3b7e969da34/detail.html",,"misapplied name",,"""Compl�ments au prodrome de la flore corse. Annexe 3 [Gamisans, J. & Jeanmonod, D.] Gen�ve 1993.""","7","Calendula arvensis (Vaill.) L.","NULL",
"28447",,"""Calendula tripterocarpa sec. Pignatti, S.""",,"41","7374ee28-c002-4cdc-8022-1a4204e4ff7a","http://localhost:8080/ipt/7/7374ee28-c002-4cdc-8022-1a4204e4ff7a/detail.html",,"misapplied name",,"Flora d'Italia 3 Bologna 1982.","7","Calendula arvensis (Vaill.) L.","NULL",
"28448",,"""Calendula tripterocarpa"""" sec. Duvigneaud, J. (1979)""",,"42","232da596-0c88-4d23-9d36-111335f81a41","http://localhost:8080/ipt/7/232da596-0c88-4d23-9d36-111335f81a41/detail.html",,"misapplied name",,"""Catalogue provisoire de la flore des Bal�ares [ed. 2] - Soc. �change Pl. Vasc. Eur. Occid. M�dit. 17, Suppl.: 1-43.""","7","Calendula arvensis (Vaill.) L.","NULL",
