Data provider	Dataset	Collector name	Field number	GUID	Date collected	Institution code	Collection code	Catalogue No	Basis of record	Image url	Last indexed	Identifier	Identification date	Scientific name	Author	Scientific name (interpreted)	Kingdom	Phylum	Class	Order	Family	Genus	Country	Country (interpreted)	Locality	County	Continent or Ocean	State/Province	Region	Provider country	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id	Min depth	Max depth	Max depth	Min altitude	Max altitude	Altitude precision	GBIF portal url	GBIF webservice url
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3542-3	Specimen		28.3.07 12:26			Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes		Gyrothrix circinata							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492329	http://data.gbif.org/ws/rest/occurrence/get?key=56492329
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3542-4	Specimen		28.3.07 12:26			Hermatomyces sphaericum (Sacc.) S. Hughes		Hermatomyces sphaericum							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492331	http://data.gbif.org/ws/rest/occurrence/get?key=56492331
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3542-5	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492333	http://data.gbif.org/ws/rest/occurrence/get?key=56492333
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3543-1	Specimen		28.3.07 12:26			Coleophoma empetri (Rostr.) Petr.		Coleophoma empetri							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492335	http://data.gbif.org/ws/rest/occurrence/get?key=56492335
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3543-2	Specimen		28.3.07 12:26			Diaporthe palmarum Joa.E. Taylor, K.D. Hyde & E.B.G. Jones		Diaporthe palmarum							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492337	http://data.gbif.org/ws/rest/occurrence/get?key=56492337
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3543-3	Specimen		28.3.07 12:26			Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes		Gyrothrix circinata							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492339	http://data.gbif.org/ws/rest/occurrence/get?key=56492339
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3544	Specimen		28.3.07 12:26			Lasiodiplodia theobromae (Pat.) Griff. & Maubl.		Lasiodiplodia theobromae							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492341	http://data.gbif.org/ws/rest/occurrence/get?key=56492341
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3545-1	Specimen		28.3.07 12:26			Diaporthe palmarum Joa.E. Taylor, K.D. Hyde & E.B.G. Jones		Diaporthe palmarum							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492343	http://data.gbif.org/ws/rest/occurrence/get?key=56492343
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3545-2	Specimen		28.3.07 12:26			Gyrothrix circinata (Berk. & M.A. Curtis) S. Hughes		Gyrothrix circinata							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492344	http://data.gbif.org/ws/rest/occurrence/get?key=56492344
The Hong Kong University Herbarium	The University of Hong Kong Herbarium	Joanne E. Taylor			1.8.94 0:00	HKU	HKU(M)	3546-1	Specimen		28.3.07 12:26			Botryosphaeria dothidea (Moug.) Ces. & De Not.		Botryosphaeria dothidea							Hong Kong	HK	HONG KONG, Hong Kong University, University Drive	Pokfulam			Eastern Asia	Hong Kong	22.3	114.3		40614	33							http://data.gbif.org/occurrences/56492346	http://data.gbif.org/ws/rest/occurrence/get?key=56492346
