"ID","BBOX_MAX_LATITUDE","BBOX_MAX_LONGITUDE","BBOX_MIN_LATITUDE","BBOX_MIN_LONGITUDE","NOMENCLATURAL_CODE","TYPE","LABEL","LFT","OCC_TOTAL","RANK","RGT","RESOURCE_FK","PARENT_FK","LOCAL_ID","GUID","LINK","DELETED","MODIFIED","BASIONYM_FK","ACCEPTED_TAXON_FK","NOTES","TAXONOMIC_STATUS","NOMENCLATURAL_STATUS","NOMENCLATURAL_REFERENCE","BASIONYM_ID","ACCEPTED_TAXON_ID","TAXONOMIC_PARENT_ID","MPATH"
"26488",,,,,,,"""Calendula tripterocarpa sec. Tutin, T. G., Heywood, V. H., Burges, N. A., Valentine, D. H., Walters, S. M. & Webb, D. A.""","31","0",,"32","7",,"38","2cb2874b-9a6a-44ae-8d0e-ab02a21c7086","http://localhost:8080/data/7/2cb2874b-9a6a-44ae-8d0e-ab02a21c7086/detail.html","FALSE","2009-01-07 20:24:44.636",,"26457",,"misapplied name",,"""Flora europaea 4 [Tutin, T. G., Heywood, V. H., Burges, N. A., Moore, D. M., Valentine, D. H., Walters, S. M. & Webb, D. A.] Cambridge University Press Cambridge 1976.""","NULL","7","NULL",
"26489",,,,,,,"""Calendula tripterocarpa sec. Gamisans, J.""","33","0",,"34","7",,"39","48ee94f0-8d99-47a2-8b44-577fbcdab14e","http://localhost:8080/data/7/48ee94f0-8d99-47a2-8b44-577fbcdab14e/detail.html","FALSE","2009-01-07 20:24:44.638",,"26457",,"misapplied name",,"Catalogue des plantes vasculaires de la Corse Ajaccio 1985","NULL","7","NULL",
"26454",,,,,,"6","Tripterus vaillantii Decne.","4","0","species","5","7","26453","4","d5b2c66e-a843-472a-a341-69f7f9a8084c","http://localhost:8080/data/7/d5b2c66e-a843-472a-a341-69f7f9a8084c/detail.html","FALSE","2009-01-07 20:24:44.449",,,,"Accepted",,"""in Ann. Sci. Nat., Bot., ser. 2, 2: 260. 1834""","Tripteris vaillantii Decne.","4","3",
"26490",,,,,,,"""Calendula tripterocarpa sec. Jeanmonod, D. & Burdet, H. M.""","35","0",,"36","7",,"40","9e268a1a-68fc-486c-b206-d8fb8d4b9ca5","http://localhost:8080/data/7/9e268a1a-68fc-486c-b206-d8fb8d4b9ca5/detail.html","FALSE","2009-01-07 20:24:44.642",,"26457",,"misapplied name",,"""Compl?ments au prodrome de la flore corse. Annexe 3 [Gamisans, J. & Jeanmonod, D.] Gen?ve 1993.""","NULL","7","NULL",
"26491",,,,,,,"""Calendula tripterocarpa sec. Pignatti, S.""","37","0",,"38","7",,"41","c8a53381-7ed7-4b2a-b78d-01830c684d9d","http://localhost:8080/data/7/c8a53381-7ed7-4b2a-b78d-01830c684d9d/detail.html","FALSE","2009-01-07 20:24:44.643",,"26457",,"misapplied name",,"Flora d'Italia 3 Bologna 1982.","NULL","7","NULL",
"26492",,,,,,,"""Calendula tripterocarpa"""" sec. Duvigneaud, J. (1979)""","39","0",,"40","7",,"42","208d6a09-ee25-4a45-a441-c2f339bfb786","http://localhost:8080/data/7/208d6a09-ee25-4a45-a441-c2f339bfb786/detail.html","FALSE","2009-01-07 20:24:44.644",,"26457",,"misapplied name",,"""Catalogue provisoire de la flore des Bal?ares [ed. 2] - Soc. ?change Pl. Vasc. Eur. Occid. M?dit. 17, Suppl.: 1-43.""","NULL","7","NULL",
"26455",,,,,,"6","Osteospermum vaillantii (Decne.) Norl.","41","0","species","42","7",,"5","53b06627-85e7-4bff-a104-91864e366f3b","http://localhost:8080/data/7/53b06627-85e7-4bff-a104-91864e366f3b/detail.html","FALSE","2009-01-07 20:24:44.453",,"26454",,"Homotypic Synonym",,"Stud. Calend.: 305. 1943","Tripteris vaillantii Decne.","4","NULL",
"26456",,,,,,"5","Calendula L.","7","0","genus","10","7","26452","6","1013e97d-4c0a-4293-8e83-b3a97d03f711","http://localhost:8080/data/7/1013e97d-4c0a-4293-8e83-b3a97d03f711/detail.html","FALSE","2009-01-07 20:24:44.464",,,,"Accepted",,"Sp. Pl.: 921. 1753","NULL","6","2",
"26457",,,,,,"6","Calendula arvensis (Vaill.) L.","8","0","species","9","7","26456","7","9638974a-4355-416f-a4b7-85c2e0099680","http://localhost:8080/data/7/9638974a-4355-416f-a4b7-85c2e0099680/detail.html","FALSE","2009-01-07 20:24:44.469",,,,"Accepted",,"""Sp. Pl., ed. 2: 1303. 1763""","Caltha arvensis Vaill.","7","6",
"26458",,,,,,"6","Caltha arvensis Vaill.","71","0","species","72","7",,"8","11590934-c241-44fb-ace1-b90bbc993609","http://localhost:8080/data/7/11590934-c241-44fb-ace1-b90bbc993609/detail.html","FALSE","2009-01-07 20:24:44.475",,"26457",,"Homotypic Synonym",,"in K?nigl. Akad. Wiss. Paris Phys. Abh. 5: 558. 1754","Caltha arvensis Vaill.","7","NULL",
"26459",,,,,,"7","Calendula officinalis subsp. arvensis (Vaill.) Fiori","83","0","subspecies","84","7",,"9","47ab280d-58de-4a69-b131-de0a07d42092","http://localhost:8080/data/7/47ab280d-58de-4a69-b131-de0a07d42092/detail.html","FALSE","2009-01-07 20:24:44.503",,"26457",,"Heterotypic Synonym",,"""in Fiori & Paoletti, Fl. Italia 3: 297. 1904""","Caltha arvensis Vaill.","7","NULL",
