#id	#modified	Family	InstitutionCode	InfraspecificEpithet	Collector	Locality	Genus	InfraspecificRank	BasisOfRecord	MinimumElevationInMeters	SpecificEpithet	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	CollectionCode
88fbbca2-d01c-45ce-b103-e0a8a686779f	2008-08-04 10:52:48.0	Rosaceae		muricata	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Sanguisorba	Subspecies	PreservedSpecimen	2350	minor	Sanguisorba minor subsp. muricata (Spach) Briq.	Turkey	1999-07-30 00:00:00.0	ICBN	1057	(Spach) Briq.	Nigde	PonTaurus collection
e409e9b5-3ad5-4865-8b99-4050353c16e2	2008-08-04 10:52:48.0	Asteraceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Centaurea		PreservedSpecimen	2350	virgata ?A?	Centaurea virgata ?A? Lam.	Turkey	1999-07-30 00:00:00.0	ICBN	1058	Lam.	Nigde	PonTaurus collection
54a1c6f2-5e32-4992-b0e3-dc57ce07a490	2008-08-04 10:52:48.0	Santalaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Thesium		PreservedSpecimen	2350	billardieri	Thesium billardieri Boiss.	Turkey	1999-07-30 00:00:00.0	ICBN	1059	Boiss.	Nigde	PonTaurus collection
efedea64-4c28-4d28-b275-8213e77f3c2c	2008-08-04 10:52:48.0	Poaceae		\n	Markus Döring	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Poa		PreservedSpecimen	2180	bulbosa agg.	Poa bulbosa agg. L.	Turkey	1999-06-21 00:00:00.0	ICBN	106	L.	Mugla	PonTaurus collection
423bf7b2-0ef6-4bb9-bb7e-30ea97f038e4	2008-08-04 10:52:48.0	Cupressaceae		oxycedrus	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Juniperus	Subspecies	PreservedSpecimen	2350	oxycedrus	Juniperus oxycedrus subsp. oxycedrus	Turkey	1999-07-30 00:00:00.0	ICBN	1060	\n	Nigde	PonTaurus collection
e92d1a91-3371-4786-81d7-c4d0ddccabf1	2008-08-04 10:52:48.0	Caryophyllaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Silene		PreservedSpecimen	2350	pruinosa	Silene pruinosa Boiss.	Turkey	1999-07-30 00:00:00.0	ICBN	1061	Boiss.	Nigde	PonTaurus collection
33c90d89-865b-4a58-a8c9-627797c9ee8f	2008-08-04 10:52:48.0	Rubiaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Galium		PreservedSpecimen	2350	spec.	Galium spec.	Turkey	1999-07-30 00:00:00.0	ICBN	1062	\n	Nigde	PonTaurus collection
a11e3f9c-885b-4b34-a171-b2fc468a004e	2008-08-04 10:52:48.0	Poaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Koeleria		PreservedSpecimen	2350	macrantha	Koeleria macrantha (Ledeb.) Schult.	Turkey	1999-07-30 00:00:00.0	ICBN	1063	(Ledeb.) Schult.	Nigde	PonTaurus collection
0101a9d1-3d0a-431a-8d0d-6e0c934fff0b	2008-08-04 10:52:48.0	Scrophulariaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari, slopes along the road from Meydan to tarn Karagöl, 2720m	Verbascum		PreservedSpecimen	2720	spec.	Verbascum spec.	Turkey	1999-07-31 00:00:00.0	ICBN	1065	\n	Nigde	PonTaurus collection
3f2f68a9-7502-4522-a202-5a93bbe70927	2008-08-04 10:52:48.0	Lamiaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, slopes along the road from Meydan to tarn Karagöl, 2600m	Marrubium		PreservedSpecimen	2600	cephalanthum	Marrubium cephalanthum Boiss. & Noe	Turkey	1999-07-31 00:00:00.0	ICBN	1066	Boiss. & Noe	Nigde	PonTaurus collection
