"COREID","DECIMAL_LATITUDE","GEODETIC_DATUM","COORDINATE_UNCERTAINTY_IN_METERS","DECIMAL_LONGITUDE"
"1732","37.82980","WGS84","1000","35.12990"
"1733","37.82980","WGS84","1000","35.12990"
"1734","37.82980","WGS84","1000","35.12990"
"1735","37.82980","WGS84","1000","35.12990"
"1736","37.82980","WGS84","1000","35.12990"
"1737","37.82980","WGS84","1000","35.12990"
"1738","37.82980","WGS84","1000","35.12990"
"1739","37.82980","WGS84","1000","35.12990"
"1740","37.82980","WGS84","1000","35.12990"
"1741","37.82980","WGS84","1000","35.12990"
"1742","36.56300","WGS84","1000","29.63000"
"1743","37.82980","WGS84","1000","35.12990"
"1744","37.82980","WGS84","1000","35.12990"
"1745","37.82980","WGS84","1000","35.12990"
"1746","37.82980","WGS84","1000","35.12990"
"1747","37.82980","WGS84","1000","35.12990"
"1748","37.82980","WGS84","1000","35.12990"
"1749","37.82980","WGS84","1000","35.12990"
"1750","37.82980","WGS84","1000","35.12990"
"1751","37.82980","WGS84","1000","35.12990"
"1752","37.82980","WGS84","1000","35.12990"
"1753","37.82980","WGS84","1000","35.12990"
"1754","37.82980","WGS84","1000","35.12990"
"1755","36.56300","WGS84","1000","29.63000"
"1756","37.82980","WGS84","1000","35.12990"
"1757","37.82980","WGS84","1000","35.12990"
"1758","37.82980","WGS84","1000","35.12990"
"1759","37.82980","WGS84","1000","35.12990"
"1760","37.82980","WGS84","1000","35.12990"
"1761","37.82980","WGS84","1000","35.12990"
"1762","37.82980","WGS84","1000","35.12990"
"1763","37.82980","WGS84","1000","35.12990"
"1764","37.82980","WGS84","1000","35.12990"
"1765","37.82980","WGS84","1000","35.12990"
"1766","37.82980","WGS84","1000","35.12990"
"1767","37.82980","WGS84","1000","35.12990"
"1768","36.56300","WGS84","1000","29.63000"
"1769","37.82980","WGS84","1000","35.12990"
"1770","37.82980","WGS84","1000","35.12990"
"1771","37.82980","WGS84","1000","35.12990"
"1772","37.82980","WGS84","1000","35.12990"
"1773","37.82980","WGS84","1000","35.12990"
"1774","37.82980","WGS84","1000","35.12990"
"1775","37.82980","WGS84","1000","35.12990"
"1776","37.82980","WGS84","1000","35.12990"
"1777","37.82980","WGS84","1000","35.12990"
"1778","37.82980","WGS84","1000","35.12990"
"1779","37.82980","WGS84","1000","35.12990"
"1780","37.82980","WGS84","1000","35.12990"
"1781","36.56300","WGS84","1000","29.63000"
"1782","37.82980","WGS84","1000","35.12990"
"1783","37.82980","WGS84","1000","35.12990"
"1784","37.82980","WGS84","1000","35.12990"
"1785","37.82980","WGS84","1000","35.12990"
"1786","36.56300","WGS84","1000","29.63000"
"1787","37.82980","WGS84","1000","35.12990"
"1788","37.82980","WGS84","1000","35.12990"
"1789","37.82980","WGS84","1000","35.12990"
"1790","37.82980","WGS84","1000","35.12990"
"1791","37.82980","WGS84","1000","35.12990"
"1792","37.82980","WGS84","1000","35.12990"
"1793","37.82980","WGS84","1000","35.12990"
"1794","37.82980","WGS84","1000","35.12990"
"1795","37.82980","WGS84","1000","35.12990"
"1796","37.82980","WGS84","1000","35.12990"
"1797","37.82980","WGS84","1000","35.12990"
"1798","36.55700","WGS84","1000","29.61400"
"1799","36.60000","WGS84","1000","30.10000"
"1800","36.53800","WGS84","1000","30.43200"
"1801","36.56300","WGS84","1000","29.63000"
"1802","36.56300","WGS84","1000","29.63000"
"1803","37.82980","WGS84","1000","35.12990"
"1804","37.82980","WGS84","1000","35.12990"
"1805","37.82980","WGS84","1000","35.12990"
"1806","37.82980","WGS84","1000","35.12990"
"1807","37.82980","WGS84","1000","35.12990"
"1808","37.82980","WGS84","1000","35.12990"
"1809","37.82980","WGS84","1000","35.12990"
"1810","37.82980","WGS84","1000","35.12990"
"1811","37.82980","WGS84","1000","35.12990"
"1812","37.82980","WGS84","1000","35.12990"
"1813","36.56300","WGS84","1000","29.63000"
"1814","37.82980","WGS84","1000","35.12990"
"1815","37.82980","WGS84","1000","35.12990"
"1816","37.82980","WGS84","1000","35.12990"
"1817","37.82980","WGS84","1000","35.12990"
"1818","36.56300","WGS84","1000","29.63000"
"1819","36.56300","WGS84","1000","29.63000"
"1820","37.90000","WGS84","1000","35.15200"
"1821","37.90000","WGS84","1000","35.15200"
"1822","37.90000","WGS84","1000","35.15200"
"1823","37.90000","WGS84","1000","35.15200"
"1824","37.90000","WGS84","1000","35.15200"
"1825","37.90000","WGS84","1000","35.15200"
"1826","37.90000","WGS84","1000","35.15200"
"1827","37.90000","WGS84","1000","35.15200"
"1828","37.90000","WGS84","1000","35.15200"
"1829","37.90000","WGS84","1000","35.15200"
"1830","36.56300","WGS84","1000","29.63000"
"1831","37.90000","WGS84","1000","35.15200"
"1832","37.90000","WGS84","1000","35.15200"
"1833","37.90000","WGS84","1000","35.15200"
"1834","37.90000","WGS84","1000","35.15200"
"1835","37.90000","WGS84","1000","35.15200"
"1836","37.90000","WGS84","1000","35.15200"
"1837","37.90000","WGS84","1000","35.15200"
"1838","37.90000","WGS84","1000","35.15200"
"1839","37.90000","WGS84","1000","35.15200"
"1840","37.90000","WGS84","1000","35.15200"
"1841","37.90000","WGS84","1000","35.15200"
"1842","36.56300","WGS84","1000","29.63000"
"1843","37.90000","WGS84","1000","35.15200"
"1844","37.90000","WGS84","1000","35.15200"
"1845","37.90000","WGS84","1000","35.15200"
"1846","37.90000","WGS84","1000","35.15200"
"1847","37.90000","WGS84","1000","35.15200"
"1848","37.90000","WGS84","1000","35.15200"
"1849","37.90000","WGS84","1000","35.15200"
"1850","37.90000","WGS84","1000","35.15200"
"1851","37.90000","WGS84","1000","35.15200"
"1852","37.90000","WGS84","1000","35.15200"
"1853","37.90000","WGS84","1000","35.15200"
"1854","37.90000","WGS84","1000","35.15200"
"1855","37.90000","WGS84","1000","35.15200"
"1856","36.56300","WGS84","1000","29.63000"
"1857","37.90000","WGS84","1000","35.15200"
"1858","37.90000","WGS84","1000","35.15200"
"1859","37.90000","WGS84","1000","35.15200"
"1860","37.90000","WGS84","1000","35.15200"
"1861","37.90000","WGS84","1000","35.15200"
"1862","37.90000","WGS84","1000","35.15200"
"1863","37.90000","WGS84","1000","35.15200"
"1864","37.90000","WGS84","1000","35.15200"
"1865","37.90000","WGS84","1000","35.15200"
"1866","37.90000","WGS84","1000","35.15200"
"1867","36.60000","WGS84","1000","30.10000"
"1868","36.56300","WGS84","1000","29.63000"
"1869","37.90000","WGS84","1000","35.15200"
"1870","37.90000","WGS84","1000","35.15200"
"1871","37.90000","WGS84","1000","35.15200"
"1872","37.82980","WGS84","1000","35.12990"
"1873","37.82980","WGS84","1000","35.12990"
"1874","36.56300","WGS84","1000","29.63000"
"1875","36.56300","WGS84","1000","29.63000"
"1876","36.56300","WGS84","1000","29.63000"
"1877","37.07000","WGS84","1000","28.80000"
"1878","36.56300","WGS84","1000","29.63000"
"1879","37.82980","WGS84","1000","35.12990"
"1880","37.82980","WGS84","1000","35.12990"
"1881","37.82980","WGS84","1000","35.12990"
"1882","37.82980","WGS84","1000","35.12990"
"1883","37.82980","WGS84","1000","35.12990"
"1884","37.82980","WGS84","1000","35.12990"
"1885","37.82980","WGS84","1000","35.12990"
"1886","37.82980","WGS84","1000","35.12990"
"1887","37.82980","WGS84","1000","35.12990"
"1888","37.82980","WGS84","1000","35.12990"
"1889","37.82980","WGS84","1000","35.12990"
"1890","37.82980","WGS84","1000","35.12990"
"1891","37.82980","WGS84","1000","35.12990"
"1892","37.82980","WGS84","1000","35.12990"
"1893","37.82980","WGS84","1000","35.12990"
"1894","36.56300","WGS84","1000","29.63000"
"1895","37.82980","WGS84","1000","35.12990"
"1896","37.82980","WGS84","1000","35.12990"
"1897","37.82980","WGS84","1000","35.12990"
"1898","37.82980","WGS84","1000","35.12990"
"1899","37.82980","WGS84","1000","35.12990"
"1900","37.82980","WGS84","1000","35.12990"
"1901","37.82980","WGS84","1000","35.12990"
"1902","37.82980","WGS84","1000","35.12990"
"1903","37.82980","WGS84","1000","35.12990"
"1904","37.82980","WGS84","1000","35.12990"
"1905","37.82980","WGS84","1000","35.12990"
"1906","37.82980","WGS84","1000","35.12990"
"1907","36.56300","WGS84","1000","29.63000"
"1908","37.82980","WGS84","1000","35.12990"
"1909","37.82980","WGS84","1000","35.12990"
"1910","37.82980","WGS84","1000","35.12990"
"1911","37.82980","WGS84","1000","35.12990"
"1912","37.82980","WGS84","1000","35.12990"
"1913","37.82980","WGS84","1000","35.12990"
"1914","37.82980","WGS84","1000","35.12990"
"1915","37.82980","WGS84","1000","35.12990"
"1916","37.82980","WGS84","1000","35.12990"
"1917","37.82980","WGS84","1000","35.12990"
"1918","37.82980","WGS84","1000","35.12990"
"1919","37.82980","WGS84","1000","35.12990"
"1920","36.56300","WGS84","1000","29.63000"
"1921","37.82980","WGS84","1000","35.12990"
"1922","37.82980","WGS84","1000","35.12990"
"1923","37.82980","WGS84","1000","35.12990"
"1924","37.76660","WGS84","1000","35.12540"
"1925","37.82980","WGS84","1000","35.12990"
"1926","37.82980","WGS84","1000","35.12990"
"1927","37.82980","WGS84","1000","35.12990"
"1928","37.82980","WGS84","1000","35.12990"
"1929","37.82980","WGS84","1000","35.12990"
"1930","37.82980","WGS84","1000","35.12990"
"1931","37.82980","WGS84","1000","35.12990"
"1932","37.82980","WGS84","1000","35.12990"
"1933","37.82980","WGS84","1000","35.12990"
"1934","36.56300","WGS84","1000","29.63000"
"1935","37.82980","WGS84","1000","35.12990"
"1936","37.82980","WGS84","1000","35.12990"
"1937","37.82980","WGS84","1000","35.12990"
"1938","37.82980","WGS84","1000","35.12990"
"1939","36.56300","WGS84","1000","29.63000"
"1940","37.76660","WGS84","1000","35.12540"
"1941","37.76660","WGS84","1000","35.12540"
"1942","37.76660","WGS84","1000","35.12540"
"1943","37.76660","WGS84","1000","35.12540"
"1944","37.76660","WGS84","1000","35.12540"
"1945","37.76660","WGS84","1000","35.12540"
"1946","37.76660","WGS84","1000","35.12540"
"1947","37.76660","WGS84","1000","35.12540"
"1948","37.76660","WGS84","1000","35.12540"
"1949","37.76660","WGS84","1000","35.12540"
"1950","36.56300","WGS84","1000","29.63000"
"1951","37.76660","WGS84","1000","35.12540"
"1952","37.76660","WGS84","1000","35.12540"
"1953","37.76660","WGS84","1000","35.12540"
"1954","37.76660","WGS84","1000","35.12540"
"1955","37.76660","WGS84","1000","35.12540"
"1956","37.76660","WGS84","1000","35.12540"
"1957","37.76660","WGS84","1000","35.12540"
"1958","37.76660","WGS84","1000","35.12540"
"1959","37.76660","WGS84","1000","35.12540"
"1960","37.76660","WGS84","1000","35.12540"
"1961","36.56300","WGS84","1000","29.63000"
"1962","37.76660","WGS84","1000","35.12540"
"1963","37.76660","WGS84","1000","35.12540"
"1964","37.76660","WGS84","1000","35.12540"
"1965","37.76660","WGS84","1000","35.12540"
"1966","37.76660","WGS84","1000","35.12540"
"1967","37.76660","WGS84","1000","35.12540"
"1968","37.76660","WGS84","1000","35.12540"
"1969","37.76660","WGS84","1000","35.12540"
"1970","37.76660","WGS84","1000","35.12540"
"1971","37.76660","WGS84","1000","35.12540"
"1972","36.56300","WGS84","1000","29.63000"
"1973","37.76660","WGS84","1000","35.12540"
"1974","37.76660","WGS84","1000","35.12540"
"1975","37.76660","WGS84","1000","35.12540"
"1976","37.76660","WGS84","1000","35.12540"
"1977","37.76660","WGS84","1000","35.12540"
"1978","37.76660","WGS84","1000","35.12540"
"1979","37.76660","WGS84","1000","35.12540"
"1980","37.76660","WGS84","1000","35.12540"
"1981","37.76660","WGS84","1000","35.12540"
"1982","37.76660","WGS84","1000","35.12540"
"1983","36.56300","WGS84","1000","29.63000"
"1984","37.76660","WGS84","1000","35.12540"
"1985","37.76660","WGS84","1000","35.12540"
"1986","37.76660","WGS84","1000","35.12540"
"1987","37.76660","WGS84","1000","35.12540"
"1988","37.76660","WGS84","1000","35.12540"
"1989","37.76660","WGS84","1000","35.12540"
"1990","37.76660","WGS84","1000","35.12540"
"1991","37.76660","WGS84","1000","35.12540"
"1992","37.76660","WGS84","1000","35.12540"
"1993","37.76660","WGS84","1000","35.12540"
"1994","36.56300","WGS84","1000","29.63000"
"1995","37.76660","WGS84","1000","35.12540"
"1996","37.76660","WGS84","1000","35.12540"
"1997","37.82130","WGS84","1000","35.11050"
"1998","37.82130","WGS84","1000","35.11050"
"1999","37.82130","WGS84","1000","35.11050"
"2000","37.82130","WGS84","1000","35.11050"
"2001","37.82130","WGS84","1000","35.11050"
"2002","37.82130","WGS84","1000","35.11050"
"2003","37.82130","WGS84","1000","35.11050"
"2004","37.82130","WGS84","1000","35.11050"
"2005","36.56300","WGS84","1000","29.63000"
"2006","37.82130","WGS84","1000","35.11050"
"2007","37.82130","WGS84","1000","35.11050"
"2008","37.82130","WGS84","1000","35.11050"
"2009","37.82130","WGS84","1000","35.11050"
"2010","37.82130","WGS84","1000","35.11050"
"2011","37.82130","WGS84","1000","35.11050"
"2012","37.82130","WGS84","1000","35.11050"
"2013","37.82130","WGS84","1000","35.11050"
"2014","37.82130","WGS84","1000","35.11050"
"2015","37.82130","WGS84","1000","35.11050"
"2016","36.55700","WGS84","1000","29.61400"
"2017","37.82130","WGS84","1000","35.11050"
"2018","37.82130","WGS84","1000","35.11050"
"2019","37.82130","WGS84","1000","35.11050"
"2020","37.82130","WGS84","1000","35.11050"
"2021","37.82130","WGS84","1000","35.11050"
"2022","37.82130","WGS84","1000","35.11050"
"2023","37.82130","WGS84","1000","35.11050"
"2024","37.82130","WGS84","1000","35.11050"
"2025","37.80750","WGS84","1000","35.12310"
"2026","37.80750","WGS84","1000","35.12310"
"2027","36.55700","WGS84","1000","29.61400"
"2028","37.80750","WGS84","1000","35.12310"
"2029","37.80750","WGS84","1000","35.12310"
"2030","37.80750","WGS84","1000","35.12310"
"2031","37.80750","WGS84","1000","35.12310"
"2032","37.80750","WGS84","1000","35.12310"
"2033","37.80750","WGS84","1000","35.12310"
"2034","37.80750","WGS84","1000","35.12310"
"2035","37.80750","WGS84","1000","35.12310"
"2036","37.80750","WGS84","1000","35.12310"
"2037","37.80750","WGS84","1000","35.12310"
"2038","36.55700","WGS84","1000","29.61400"
"2039","37.80750","WGS84","1000","35.12310"
"2040","37.80750","WGS84","1000","35.12310"
"2041","37.80750","WGS84","1000","35.12310"
"2042","37.80750","WGS84","1000","35.12310"
"2043","37.80750","WGS84","1000","35.12310"
"2044","36.55700","WGS84","1000","29.61400"
