"ID","URI","ISSUED","IDENTIFIER","VOCABULARY_FK","CONCEPT_ORDER","LINK"
"95041","http://iso.org/iso3166#PL","2008-12-17 20:39:51.0","PL","13","177",
"95042","http://iso.org/iso3166#PM","2008-12-17 20:39:51.0","PM","13","178",
"95043","http://iso.org/iso3166#PN","2008-12-17 20:39:51.0","PN","13","179",
"95044","http://iso.org/iso3166#PR","2008-12-17 20:39:51.0","PR","13","180",
"95045","http://iso.org/iso3166#PS","2008-12-17 20:39:51.0","PS","13","181",
"95046","http://iso.org/iso3166#PT","2008-12-17 20:39:51.0","PT","13","182",
"95047","http://iso.org/iso3166#PW","2008-12-17 20:39:51.0","PW","13","183",
"95048","http://iso.org/iso3166#PY","2008-12-17 20:39:51.0","PY","13","184",
"95049","http://iso.org/iso3166#QA","2008-12-17 20:39:51.0","QA","13","185",
"95050","http://iso.org/iso3166#RE","2008-12-17 20:39:51.0","RE","13","186",
"95051","http://iso.org/iso3166#RO","2008-12-17 20:39:51.0","RO","13","187",
"95052","http://iso.org/iso3166#RS","2008-12-17 20:39:51.0","RS","13","188",
"95053","http://iso.org/iso3166#RU","2008-12-17 20:39:51.0","RU","13","189",
"95054","http://iso.org/iso3166#RW","2008-12-17 20:39:51.0","RW","13","190",
"95055","http://iso.org/iso3166#SA","2008-12-17 20:39:51.0","SA","13","191",
"95056","http://iso.org/iso3166#SB","2008-12-17 20:39:51.0","SB","13","192",
"95057","http://iso.org/iso3166#SC","2008-12-17 20:39:51.0","SC","13","193",
"95058","http://iso.org/iso3166#SD","2008-12-17 20:39:51.0","SD","13","194",
"95059","http://iso.org/iso3166#SE","2008-12-17 20:39:51.0","SE","13","195",
"95060","http://iso.org/iso3166#SG","2008-12-17 20:39:51.0","SG","13","196",
"95061","http://iso.org/iso3166#SH","2008-12-17 20:39:51.0","SH","13","197",
"95062","http://iso.org/iso3166#SI","2008-12-17 20:39:51.0","SI","13","198",
"95063","http://iso.org/iso3166#SJ","2008-12-17 20:39:51.0","SJ","13","199",
"95064","http://iso.org/iso3166#SK","2008-12-17 20:39:51.0","SK","13","200",
"95065","http://iso.org/iso3166#SL","2008-12-17 20:39:51.0","SL","13","201",
"95066","http://iso.org/iso3166#SM","2008-12-17 20:39:51.0","SM","13","202",
"95067","http://iso.org/iso3166#SN","2008-12-17 20:39:51.0","SN","13","203",
"95068","http://iso.org/iso3166#SO","2008-12-17 20:39:51.0","SO","13","204",
"95069","http://iso.org/iso3166#SR","2008-12-17 20:39:51.0","SR","13","205",
"95070","http://iso.org/iso3166#ST","2008-12-17 20:39:51.0","ST","13","206",
"95071","http://iso.org/iso3166#SV","2008-12-17 20:39:51.0","SV","13","207",
"95072","http://iso.org/iso3166#SY","2008-12-17 20:39:51.0","SY","13","208",
"95073","http://iso.org/iso3166#SZ","2008-12-17 20:39:51.0","SZ","13","209",
"95074","http://iso.org/iso3166#TC","2008-12-17 20:39:51.0","TC","13","210",
"95075","http://iso.org/iso3166#TD","2008-12-17 20:39:51.0","TD","13","211",
"95076","http://iso.org/iso3166#TF","2008-12-17 20:39:51.0","TF","13","212",
"95077","http://iso.org/iso3166#TG","2008-12-17 20:39:51.0","TG","13","213",
"95078","http://iso.org/iso3166#TH","2008-12-17 20:39:51.0","TH","13","214",
"95079","http://iso.org/iso3166#TJ","2008-12-17 20:39:51.0","TJ","13","215",
