"ID","PREFERRED","CREATED","LANG","MODIFIED","RELATION","SOURCE","TITLE","CONCEPT_FK"
"97213","TRUE",,"en","2008-12-17 20:54:28.0",,,"KAZAKHSTAN","94988"
"97214","TRUE",,"en","2008-12-17 20:54:28.0",,,"LAO PEOPLE'S DEMOCRATIC REPUBLIC","94989"
"97215","TRUE",,"en","2008-12-17 20:54:28.0",,,"LEBANON","94990"
"97216","TRUE",,"en","2008-12-17 20:54:28.0",,,"SAINT LUCIA","94991"
"97217","TRUE",,"en","2008-12-17 20:54:28.0",,,"LIECHTENSTEIN","94992"
"97218","TRUE",,"en","2008-12-17 20:54:28.0",,,"SRI LANKA","94993"
"97219","TRUE",,"en","2008-12-17 20:54:28.0",,,"LIBERIA","94994"
"97220","TRUE",,"en","2008-12-17 20:54:28.0",,,"LESOTHO","94995"
"97221","TRUE",,"en","2008-12-17 20:54:28.0",,,"LITHUANIA","94996"
"97222","TRUE",,"en","2008-12-17 20:54:28.0",,,"LUXEMBOURG","94997"
"97223","TRUE",,"en","2008-12-17 20:54:28.0",,,"LATVIA","94998"
"97224","TRUE",,"en","2008-12-17 20:54:28.0",,,"LIBYAN ARAB JAMAHIRIYA","94999"
"97225","TRUE",,"en","2008-12-17 20:54:28.0",,,"MOROCCO","95000"
"97226","TRUE",,"en","2008-12-17 20:54:28.0",,,"MONACO","95001"
"97227","TRUE",,"en","2008-12-17 20:54:28.0",,,"MOLDOVA, REPUBLIC OF","95002"
"97228","TRUE",,"en","2008-12-17 20:54:28.0",,,"MONTENEGRO","95003"
"97229","TRUE",,"en","2008-12-17 20:54:28.0",,,"MADAGASCAR","95004"
"97230","TRUE",,"en","2008-12-17 20:54:28.0",,,"MARSHALL ISLANDS","95005"
"97231","TRUE",,"en","2008-12-17 20:54:28.0",,,"MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF","95006"
"97232","TRUE",,"en","2008-12-17 20:54:28.0",,,"MALI","95007"
"97233","TRUE",,"en","2008-12-17 20:54:28.0",,,"MYANMAR","95008"
"97234","TRUE",,"en","2008-12-17 20:54:28.0",,,"MONGOLIA","95009"
"97235","TRUE",,"en","2008-12-17 20:54:28.0",,,"MACAO","95010"
"97236","TRUE",,"en","2008-12-17 20:54:28.0",,,"NORTHERN MARIANA ISLANDS","95011"
"97237","TRUE",,"en","2008-12-17 20:54:28.0",,,"MARTINIQUE","95012"
"97238","TRUE",,"en","2008-12-17 20:54:28.0",,,"MAURITANIA","95013"
"97239","TRUE",,"en","2008-12-17 20:54:28.0",,,"MONTSERRAT","95014"
"97240","TRUE",,"en","2008-12-17 20:54:28.0",,,"MALTA","95015"
"97241","TRUE",,"en","2008-12-17 20:54:28.0",,,"MAURITIUS","95016"
"97242","TRUE",,"en","2008-12-17 20:54:28.0",,,"MALDIVES","95017"
"97243","TRUE",,"en","2008-12-17 20:54:28.0",,,"MALAWI","95018"
"97244","TRUE",,"en","2008-12-17 20:54:28.0",,,"MEXICO","95019"
"97245","TRUE",,"en","2008-12-17 20:54:28.0",,,"MALAYSIA","95020"
"97246","TRUE",,"en","2008-12-17 20:54:28.0",,,"MOZAMBIQUE","95021"
"97247","TRUE",,"en","2008-12-17 20:54:28.0",,,"NAMIBIA","95022"
"97248","TRUE",,"en","2008-12-17 20:54:28.0",,,"NEW CALEDONIA","95023"
"97249","TRUE",,"en","2008-12-17 20:54:28.0",,,"NIGER","95024"
"97250","TRUE",,"en","2008-12-17 20:54:28.0",,,"NORFOLK ISLAND","95025"
"97251","TRUE",,"en","2008-12-17 20:54:28.0",,,"NIGERIA","95026"
"97252","TRUE",,"en","2008-12-17 20:54:28.0",,,"NICARAGUA","95027"
"97253","TRUE",,"en","2008-12-17 20:54:28.0",,,"NETHERLANDS","95028"
"97254","TRUE",,"en","2008-12-17 20:54:28.0",,,"NORWAY","95029"
"97255","TRUE",,"en","2008-12-17 20:54:28.0",,,"NEPAL","95030"
"97256","TRUE",,"en","2008-12-17 20:54:28.0",,,"NAURU","95031"
"97257","TRUE",,"en","2008-12-17 20:54:28.0",,,"NIUE","95032"
"97258","TRUE",,"en","2008-12-17 20:54:28.0",,,"NEW ZEALAND","95033"
"97259","TRUE",,"en","2008-12-17 20:54:28.0",,,"OMAN","95034"
"97260","TRUE",,"en","2008-12-17 20:54:28.0",,,"PANAMA","95035"
"97261","TRUE",,"en","2008-12-17 20:54:28.0",,,"PERU","95036"
"97262","TRUE",,"en","2008-12-17 20:54:28.0",,,"FRENCH POLYNESIA","95037"
"97263","TRUE",,"en","2008-12-17 20:54:28.0",,,"PAPUA NEW GUINEA","95038"
"97264","TRUE",,"en","2008-12-17 20:54:28.0",,,"PHILIPPINES","95039"
"97265","TRUE",,"en","2008-12-17 20:54:28.0",,,"PAKISTAN","95040"
"97266","TRUE",,"en","2008-12-17 20:54:28.0",,,"POLAND","95041"
"97267","TRUE",,"en","2008-12-17 20:54:28.0",,,"SAINT PIERRE AND MIQUELON","95042"
"97268","TRUE",,"en","2008-12-17 20:54:28.0",,,"PITCAIRN","95043"
"97269","TRUE",,"en","2008-12-17 20:54:28.0",,,"PUERTO RICO","95044"
"97270","TRUE",,"en","2008-12-17 20:54:28.0",,,"PALESTINIAN TERRITORY, OCCUPIED","95045"
"97271","TRUE",,"en","2008-12-17 20:54:28.0",,,"PORTUGAL","95046"
"97272","TRUE",,"en","2008-12-17 20:54:28.0",,,"PALAU","95047"
"97273","TRUE",,"en","2008-12-17 20:54:28.0",,,"PARAGUAY","95048"
"97274","TRUE",,"en","2008-12-17 20:54:28.0",,,"QATAR","95049"
"97275","TRUE",,"en","2008-12-17 20:54:28.0",,,"REUNION","95050"
"97276","TRUE",,"en","2008-12-17 20:54:28.0",,,"ROMANIA","95051"
