CatalogNumber	Latitude	Longitude
291	36.60000	30.10000
292	36.60000	30.10000
292x24	36.53800	30.43200
293	36.60000	30.10000
294	36.60000	30.10000
296	36.60000	30.10000
298	36.60000	30.10000
299	36.60000	30.10000
300	36.60000	30.10000
301	36.60000	30.10000
302	36.60000	30.10000
303	36.60000	30.10000
304	36.60000	30.10000
305	36.60000	30.10000
306	36.60000	30.10000
307	36.60000	30.10000
308	36.60000	30.10000
309	36.60000	30.10000
31	37.07000	28.80000
310	36.60000	30.10000
311	36.60000	30.10000
312	36.60000	30.10000
313	36.60000	30.10000
314	36.60000	30.10000
315	36.60000	30.10000
316a	36.60000	30.10000
316b	36.60000	30.10000
317	36.60000	30.10000
318	36.60000	30.10000
319	36.60000	30.10000
320	36.60000	30.10000
321	36.60000	30.10000
322	36.60000	30.10000
323	36.60000	30.10000
324	36.60000	30.10000
325	36.60000	30.10000
326	36.53800	30.43200
327	36.53800	30.43200
328	36.53800	30.43200
329	36.53800	30.43200
330	36.53800	30.43200
331	36.53800	30.43200
332	36.53800	30.43200
333	36.53800	30.43200
334	36.53800	30.43200
336	36.53800	30.43200
337	36.53800	30.43200
338	36.53800	30.43200
339	36.53800	30.43200
339x24	36.53800	30.43200
340	36.53800	30.43200
341	36.53800	30.43200
342	36.53800	30.43200
343	36.53800	30.43200
344	36.53800	30.43200
345a	36.53800	30.43200
345b	36.53800	30.43200
346	36.53800	30.43200
347	36.53800	30.43200
348	36.53800	30.43200
349a	36.53800	30.43200
349b	36.53800	30.43200
35	37.07000	28.80000
350	36.53800	30.43200
351	36.53800	30.43200
352	36.53800	30.43200
353	36.53800	30.43200
354	36.53800	30.43200
355	36.53800	30.43200
356	36.53800	30.43200
357	36.53800	30.43200
358	36.53800	30.43200
359	36.53800	30.43200
36	37.07000	28.80000
360	36.53800	30.43200
361	36.53800	30.43200
362	36.53800	30.43200
363	36.53800	30.43200
364	36.53800	30.43200
365	36.53800	30.43200
366	36.53800	30.43200
367	36.53800	30.43200
368	36.53800	30.43200
369	36.53800	30.43200
370	36.53800	30.43200
371	36.82400	30.33700
371x26	36.53800	30.43200
372	36.82400	30.33700
373a	36.82400	30.33700
373b	36.82400	30.33700
374a	36.82400	30.33700
374b	36.82400	30.33700
375	36.82400	30.33700
376	36.82400	30.33700
377	36.82400	30.33700
378	36.82400	30.33700
379	36.82400	30.33700
38	37.07000	28.80000
380	36.82400	30.33700
381	36.82400	30.33700
382	36.82400	30.33700
383	36.82400	30.33700
384	36.82400	30.33700
385	36.82400	30.33700
386	36.82400	30.33700
387	36.82400	30.33700
388	36.82400	30.33700
389	36.82400	30.33700
390	36.82400	30.33700
391	36.82400	30.33700
392	36.82400	30.33700
393	36.82400	30.33700
394	36.82400	30.33700
395	36.82400	30.33700
395x31	36.82400	30.33700
396	36.82400	30.33700
397	36.82400	30.33700
397x31	36.82400	30.33700
398	36.82400	30.33700
399	36.82400	30.33700
4	37.02500	28.48200
400	36.82400	30.33700
401	36.82400	30.33700
402	36.82400	30.33700
403	36.82400	30.33700
404	36.82400	30.33700
405	36.82400	30.33700
406	36.82400	30.33700
407	36.82400	30.33700
408	36.82400	30.33700
409	36.82400	30.33700
410	36.82400	30.33700
411	36.82400	30.33700
412	36.82400	30.33700
413	36.82400	30.33700
414	36.82400	30.33700
415	36.82400	30.33700
416	36.82400	30.33700
417	36.82400	30.33700
418	36.82400	30.33700
419	36.82400	30.33700
42	37.07000	28.80000
420	36.82400	30.33700
421	36.82400	30.33700
422	36.82400	30.33700
423	36.82400	30.33700
424	36.82400	30.33700
424x33	36.82400	30.33700
424x34	36.82400	30.33700
425	36.82400	30.33700
426	36.82400	30.33700
427	36.82400	30.33700
428	36.82400	30.33700
429	36.82400	30.33700
430	36.82400	30.33700
431	36.82400	30.33700
431x41	36.82400	30.33700
432	36.82400	30.33700
433	36.82400	30.33700
434	36.82400	30.33700
435	36.82400	30.33700
436	36.82400	30.33700
437	36.82400	30.33700
437x46	36.82400	30.33700
438	36.82400	30.33700
439	36.82400	30.33700
440	36.82400	30.33700
441	36.82400	30.33700
442	36.82400	30.33700
443	36.82400	30.33700
444	36.82400	30.33700
445	36.82400	30.33700
446	36.82400	30.33700
447	36.82400	30.33700
448	36.82400	30.33700
449	36.82400	30.33700
45	37.07000	28.80000
450	36.82400	30.33700
451	36.82400	30.33700
452	36.82400	30.33700
453	36.82400	30.33700
454	36.82400	30.33700
455	36.82400	30.33700
456	36.82400	30.33700
457	36.82400	30.33700
458	36.82400	30.33700
459	36.82400	30.33700
459x45	36.82400	30.33700
460	36.82400	30.33700
461	36.82400	30.33700
461x46	36.82400	30.33700
462	36.82400	30.33700
462x46	36.82400	30.33700
463	36.82400	30.33700
464a	36.82400	30.33700
464b	36.82400	30.33700
465	36.82400	30.33700
466	36.82400	30.33700
467	36.82400	30.33700
