"ID","NOMENCLATURAL_CODE","LOCALITY","SCIENTIFIC_NAME","COLLECTOR","ORDER","CATALOG_NUMBER","GENUS","EARLIEST_DATE_COLLECTED","INFRASPECIFIC_EPITHET","BASIS_OF_RECORD","CONTINENT","FAMILY","COUNTRY","KINGDOM","MINIMUM_ELEVATION_IN_METERS","STATE_PROVINCE","INSTITUTION_CODE","PHYLUM","DECIMAL_LATITUDE","IDENTIFIED_BY","CLASSS","COLLECTION_CODE","SPECIFIC_EPITHET","DECIMAL_LONGITUDE"
"189","ICBN","Aladaglari, lower Narpiz Deresi, next to fountain, 2900m","Cerastium gnaphalodes Fenzl","Markus Döring","Caryophyllales","1205","Cerastium","1999-08-06 00:00:00.0",,"PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2900","Adana","BGBM","Magnoliophyta","37.82800","Markus Döring",,"B","gnaphalodes","35.13600"
"190","ICBN","Aladaglari, lower Narpiz Deresi, next to fountain, 2890m","Sesleria alba Sm.","Markus Döring","Cyperales","1206","Sesleria","1999-08-06 00:00:00.0",,"PreservedSpecimen","Asia","Poaceae","TR","Plantae","2890","Adana","BGBM","Magnoliophyta","37.82800","Markus Döring",,"B","alba","35.13600"
"191","ICBN","Aladaglari, lower Narpiz Deresi, next to fountain, 2900m","Galium incanum subsp. centrale Ehrend.","Markus Döring","Rubiales","1207","Galium","1999-08-06 00:00:00.0","centrale","PreservedSpecimen","Asia","Rubiaceae","TR","Plantae","2900","Adana","BGBM","Magnoliophyta","37.82800","Markus Döring",,"B","incanum","35.13600"
"192","ICBN","Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2450m","Polygala pruinosa subsp. megaptera Cullen","Markus Döring","Polygalales","1208","Polygala","1999-08-07 00:00:00.0","megaptera","PreservedSpecimen","Asia","Polygalaceae","TR","Plantae","2450","Adana","BGBM","Magnoliophyta","37.82980","Markus Döring",,"B","pruinosa","35.12990"
"193","ICBN","Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2450m","Teucrium polium s.l. L.","Markus Döring","Lamiales","1209","Teucrium","1999-08-07 00:00:00.0",,"PreservedSpecimen","Asia","Lamiaceae","TR","Plantae","2450","Adana","BGBM","Magnoliophyta","37.82980","Markus Döring",,"B","polium s.l.","35.12990"
"194","ICBN","Lycian Akdaglari above Gömbe, 2300m","Helichrysum pallasii Ledeb.","Markus Döring","Asterales","120x1","Helichrysum","1999-06-29 00:00:00.0",,"PreservedSpecimen","Asia","Asteraceae","TR","Plantae","2300","Mugla","BGBM","Magnoliophyta","36.56300","Markus Döring",,"B","pallasii","29.63000"
"195","ICBN","Lycian Akdaglari above Gömbe, behind Subasi Yayla, 2100m","Minuartia erythrosepala var. erythrosepala","Markus Döring","Caryophyllales","121","Minuartia","1999-06-27 00:00:00.0",,"PreservedSpecimen","Asia","Caryophyllaceae","TR","Plantae","2100","Mugla","BGBM","Magnoliophyta","36.56300","Markus Döring",,"B","erythrosepala","29.63000"
"196","ICBN","Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2450m","Sideritis phlomoides Boiss. & Balansa","Markus Döring","Lamiales","1210","Sideritis","1999-08-07 00:00:00.0",,"PreservedSpecimen","Asia","Lamiaceae","TR","Plantae","2450","Adana","BGBM","Magnoliophyta","37.82980","Markus Döring",,"B","phlomoides","35.12990"
"197","ICBN","Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2450m","Asyneuma limonifolium subsp. limonifolium","Markus Döring","Campanulales","1211","Asyneuma","1999-08-07 00:00:00.0","limonifolium","PreservedSpecimen","Asia","Campanulaceae","TR","Plantae","2450","Adana","BGBM","Magnoliophyta","37.82980","Markus Döring",,"B","limonifolium","35.12990"
"198","ICBN","Aladaglari, Kayacik Deresi, entrance to Narpiz Bogazi gorge, northern slope, 2500m","Asyneuma limonifolium subsp. limonifolium","Markus Döring","Campanulales","1211x116","Asyneuma","1999-08-07 00:00:00.0","limonifolium","PreservedSpecimen","Asia","Campanulaceae","TR","Plantae","2500","Adana","BGBM","Magnoliophyta","37.82980","Markus Döring",,"B","limonifolium","35.12990"
