"ID","FAMILY","INSTITUTION_CODE","INFRASPECIFIC_EPITHET","REMARKS","COLLECTOR","KINGDOM","LOCALITY","GENUS","INFRASPECIFIC_RANK","BASIS_OF_RECORD","PHYLUM","SPECIFIC_EPITHET","MINIMUM_ELEVATION_IN_METERS","CLASS","SCIENTIFIC_NAME","NOMENCLATURAL_CODE","EARLIEST_DATE_COLLECTED","COUNTRY","CATALOG_NUMBER","STATE_PROVINCE","AUTHOR_YEAR_OF_SCIENTIFIC_NAME","ORDER","CONTINENT","COLLECTION_CODE"
"4015","Hypericaceae","BGBM","uniflorum",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Hypericum","Subspecies","PreservedSpecimen","Magnoliophyta","aviculariifolium","2500",,"Hypericum aviculariifolium subsp. uniflorum (Boiss. & Heldr.) Robson","ICBN","1999-07-15 00:00:00.0","TR","525","Ïsparta/Konya","(Boiss. & Heldr.) Robson","Malpighiales","Asia","B"
"4016","Asteraceae","BGBM","extrarosularis",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Centaurea","Subspecies","PreservedSpecimen","Magnoliophyta","pichleri","2500",,"Centaurea pichleri subsp. extrarosularis (Hayek & Siehe) Wagenitz","ICBN","1999-07-15 00:00:00.0","TR","526","Ïsparta/Konya","(Hayek & Siehe) Wagenitz","Asterales","Asia","B"
"4017","Asteraceae","BGBM","austro-occidentalis",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Centaurea","Subspecies","PreservedSpecimen","Magnoliophyta","drabifolia","2500",,"Centaurea drabifolia subsp. austro-occidentalis Wagenitz","ICBN","1999-07-15 00:00:00.0","TR","527","Ïsparta/Konya","Wagenitz","Asterales","Asia","B"
"4018","Fabaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Astragalus",,"PreservedSpecimen","Magnoliophyta","hirsutus","2500",,"Astragalus hirsutus Vahl","ICBN","1999-07-15 00:00:00.0","TR","528","Ïsparta/Konya","Vahl","Fabales","Asia","B"
"4019","Caryophyllaceae","BGBM","echinus",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Silene","Subspecies","PreservedSpecimen","Magnoliophyta","caryophylloides","2500",,"Silene caryophylloides subsp. echinus (Boiss. & Heldr.) Coode & Cullen","ICBN","1999-07-15 00:00:00.0","TR","529","Ïsparta/Konya","(Boiss. & Heldr.) Coode & Cullen","Caryophyllales","Asia","B"
"4020","Caryophyllaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Saponaria",,"PreservedSpecimen","Magnoliophyta","pumilio","2500",,"Saponaria pumilio Boiss.","ICBN","1999-07-15 00:00:00.0","TR","530","Ïsparta/Konya","Boiss.","Caryophyllales","Asia","B"
"4021","Asteraceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Scorzonera","Variety","PreservedSpecimen","Magnoliophyta","cana","2500",,"Scorzonera cana var. radicosa (Boiss.) D.F.Chamb.","ICBN","1999-07-15 00:00:00.0","TR","531","Ïsparta/Konya","(Boiss.) D.F.Chamb.","Asterales","Asia","B"
"4022","Lamiaceae","BGBM","sipyleus",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Thymus","Variety","PreservedSpecimen","Magnoliophyta","sipyleus","2500",,"Thymus sipyleus var. davisianus Ronniger","ICBN","1999-07-15 00:00:00.0","TR","532","Ïsparta/Konya","Ronniger","Lamiales","Asia","B"
"4023","Lamiaceae","BGBM","sipyleus",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2200m","Thymus","Variety","PreservedSpecimen","Magnoliophyta","sipyleus","2200",,"Thymus sipyleus var. davisianus Ronniger","ICBN","1999-07-16 00:00:00.0","TR","532x56","Ïsparta/Konya","Ronniger","Lamiales","Asia","B"
"4024","Lamiaceae","BGBM","globosum",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2500m","Marrubium","Subspecies","PreservedSpecimen","Magnoliophyta","globosum","2500",,"Marrubium globosum subsp. globosum","ICBN","1999-07-15 00:00:00.0","TR","533","Ïsparta/Konya",,"Lamiales","Asia","B"
