ipt:coreid	DecimalLatitude	GeodeticDatum	CoordinateUncertaintyInMeters	DecimalLongitude
6836	37.90000	WGS84	1000	35.15200
6837	37.90000	WGS84	1000	35.15200
6838	37.82980	WGS84	1000	35.12990
6839	37.82980	WGS84	1000	35.12990
6840	36.56300	WGS84	1000	29.63000
6841	36.56300	WGS84	1000	29.63000
6842	36.56300	WGS84	1000	29.63000
6843	37.07000	WGS84	1000	28.80000
6844	36.56300	WGS84	1000	29.63000
6845	37.82980	WGS84	1000	35.12990
6846	37.82980	WGS84	1000	35.12990
6847	37.82980	WGS84	1000	35.12990
6848	37.82980	WGS84	1000	35.12990
6849	37.82980	WGS84	1000	35.12990
6850	37.82980	WGS84	1000	35.12990
6851	37.82980	WGS84	1000	35.12990
6852	37.82980	WGS84	1000	35.12990
6853	37.82980	WGS84	1000	35.12990
6854	37.82980	WGS84	1000	35.12990
6855	37.82980	WGS84	1000	35.12990
6856	37.82980	WGS84	1000	35.12990
6857	37.82980	WGS84	1000	35.12990
6858	37.82980	WGS84	1000	35.12990
6859	37.82980	WGS84	1000	35.12990
6860	36.56300	WGS84	1000	29.63000
6861	37.82980	WGS84	1000	35.12990
6862	37.82980	WGS84	1000	35.12990
6863	37.82980	WGS84	1000	35.12990
6864	37.82980	WGS84	1000	35.12990
6865	37.82980	WGS84	1000	35.12990
6866	37.82980	WGS84	1000	35.12990
6867	37.82980	WGS84	1000	35.12990
6868	37.82980	WGS84	1000	35.12990
6869	37.82980	WGS84	1000	35.12990
6870	37.82980	WGS84	1000	35.12990
6871	37.82980	WGS84	1000	35.12990
6872	37.82980	WGS84	1000	35.12990
6873	36.56300	WGS84	1000	29.63000
6874	37.82980	WGS84	1000	35.12990
6875	37.82980	WGS84	1000	35.12990
6876	37.82980	WGS84	1000	35.12990
6877	37.82980	WGS84	1000	35.12990
6878	37.82980	WGS84	1000	35.12990
6879	37.82980	WGS84	1000	35.12990
6880	37.82980	WGS84	1000	35.12990
6881	37.82980	WGS84	1000	35.12990
6882	37.82980	WGS84	1000	35.12990
6883	37.82980	WGS84	1000	35.12990
6884	37.82980	WGS84	1000	35.12990
6885	37.82980	WGS84	1000	35.12990
6886	36.56300	WGS84	1000	29.63000
6887	37.82980	WGS84	1000	35.12990
6888	37.82980	WGS84	1000	35.12990
6889	37.82980	WGS84	1000	35.12990
6890	37.76660	WGS84	1000	35.12540
6891	37.82980	WGS84	1000	35.12990
6892	37.82980	WGS84	1000	35.12990
6893	37.82980	WGS84	1000	35.12990
6894	37.82980	WGS84	1000	35.12990
6895	37.82980	WGS84	1000	35.12990
6896	37.82980	WGS84	1000	35.12990
6897	37.82980	WGS84	1000	35.12990
6898	37.82980	WGS84	1000	35.12990
6899	37.82980	WGS84	1000	35.12990
6900	36.56300	WGS84	1000	29.63000
6901	37.82980	WGS84	1000	35.12990
6902	37.82980	WGS84	1000	35.12990
6903	37.82980	WGS84	1000	35.12990
6904	37.82980	WGS84	1000	35.12990
6905	36.56300	WGS84	1000	29.63000
6906	37.76660	WGS84	1000	35.12540
6907	37.76660	WGS84	1000	35.12540
6908	37.76660	WGS84	1000	35.12540
6909	37.76660	WGS84	1000	35.12540
6910	37.76660	WGS84	1000	35.12540
6911	37.76660	WGS84	1000	35.12540
6912	37.76660	WGS84	1000	35.12540
6913	37.76660	WGS84	1000	35.12540
6914	37.76660	WGS84	1000	35.12540
6915	37.76660	WGS84	1000	35.12540
6916	36.56300	WGS84	1000	29.63000
6917	37.76660	WGS84	1000	35.12540
6918	37.76660	WGS84	1000	35.12540
6919	37.76660	WGS84	1000	35.12540
6920	37.76660	WGS84	1000	35.12540
6921	37.76660	WGS84	1000	35.12540
6922	37.76660	WGS84	1000	35.12540
6923	37.76660	WGS84	1000	35.12540
6924	37.76660	WGS84	1000	35.12540
6925	37.76660	WGS84	1000	35.12540
6926	37.76660	WGS84	1000	35.12540
6927	36.56300	WGS84	1000	29.63000
6928	37.76660	WGS84	1000	35.12540
6929	37.76660	WGS84	1000	35.12540
6930	37.76660	WGS84	1000	35.12540
6931	37.76660	WGS84	1000	35.12540
6932	37.76660	WGS84	1000	35.12540
6933	37.76660	WGS84	1000	35.12540
6934	37.76660	WGS84	1000	35.12540
6935	37.76660	WGS84	1000	35.12540
6936	37.76660	WGS84	1000	35.12540
6937	37.76660	WGS84	1000	35.12540
6938	36.56300	WGS84	1000	29.63000
6939	37.76660	WGS84	1000	35.12540
6940	37.76660	WGS84	1000	35.12540
6941	37.76660	WGS84	1000	35.12540
6942	37.76660	WGS84	1000	35.12540
6943	37.76660	WGS84	1000	35.12540
6944	37.76660	WGS84	1000	35.12540
6945	37.76660	WGS84	1000	35.12540
6946	37.76660	WGS84	1000	35.12540
6947	37.76660	WGS84	1000	35.12540
6948	37.76660	WGS84	1000	35.12540
6949	36.56300	WGS84	1000	29.63000
6950	37.76660	WGS84	1000	35.12540
6951	37.76660	WGS84	1000	35.12540
6952	37.76660	WGS84	1000	35.12540
6953	37.76660	WGS84	1000	35.12540
6954	37.76660	WGS84	1000	35.12540
6955	37.76660	WGS84	1000	35.12540
6956	37.76660	WGS84	1000	35.12540
6957	37.76660	WGS84	1000	35.12540
6958	37.76660	WGS84	1000	35.12540
6959	37.76660	WGS84	1000	35.12540
6960	36.56300	WGS84	1000	29.63000
6961	37.76660	WGS84	1000	35.12540
6962	37.76660	WGS84	1000	35.12540
6963	37.82130	WGS84	1000	35.11050
6964	37.82130	WGS84	1000	35.11050
