Collection code	Catalogue No	Country (interpreted)	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id
HKU(M)	3762	AU	-16.9	145.7		26605	17
HKU(M)	3765-1	AU	-16.9	145.7		26605	17
HKU(M)	3765-2	AU	-16.9	145.7		26605	17
HKU(M)	3766	AU	-16.9	145.7		26605	17
HKU(M)	3768	AU	-16.9	145.7		26605	17
HKU(M)	3773-1	AU	-16.9	145.7		26605	17
HKU(M)	3776-1	AU	-16.9	145.7		26605	17
HKU(M)	3778-1	AU	-16.9	145.7		26605	17
HKU(M)	3778-2	AU	-16.9	145.7		26605	17
HKU(M)	3779-1	AU	-16.9	145.7		26605	17
HKU(M)	3780-1	AU	-16.9	145.7		26605	17
HKU(M)	3780-2	AU	-16.9	145.7		26605	17
HKU(M)	3780-3	AU	-16.9	145.7		26605	17
HKU(M)	3781	AU	-16.9	145.7		26605	17
HKU(M)	3786-1	AU	-17.9	146.5		26246	15
HKU(M)	3797-1	AU	-16.9	145.7		26605	17
HKU(M)	3800	AU	-16.9	145.7		26605	17
HKU(M)	3805-1	AU	-16.9	145.7		26605	17
HKU(M)	3806	AU	-16.9	145.7		26605	17
HKU(M)	3807	AU	-16.9	145.7		26605	17
HKU(M)	3809-1	AU	-16.9	145.7		26605	17
HKU(M)	3812-1	AU	-16.9	145.7		26605	17
HKU(M)	3814-1	AU	-16.9	145.7		26605	17
HKU(M)	3814-2	AU	-16.9	145.7		26605	17
HKU(M)	3815-1	AU	-16.9	145.7		26605	17
HKU(M)	3818-1	AU	-16.9	145.7		26605	17
HKU(M)	3823-1	AU	-16.9	145.7		26605	17
HKU(M)	3823-2	AU	-16.9	145.7		26605	17
HKU(M)	3824-1	AU	-16.9	145.7		26605	17
HKU(M)	3831-1	AU	-16.9	145.7		26605	17
HKU(M)	3833-1	AU	-16.9	145.7		26605	17
HKU(M)	3836-1	AU	-16.9	145.7		26605	17
HKU(M)	3836-2	AU	-16.9	145.7		26605	17
HKU(M)	3837-1	AU	-16.9	145.7		26605	17
HKU(M)	3838	AU	-16.9	145.7		26605	17
HKU(M)	3840-1	AU	-16.9	145.7		26605	17
HKU(M)	3840-2	AU	-16.9	145.7		26605	17
HKU(M)	3842-1	AU	-16.9	145.7		26605	17
HKU(M)	3842-2	AU	-16.9	145.7		26605	17
HKU(M)	3844-1	AU	-16.9	145.7		26605	17
HKU(M)	3847	MY	4	101.9		34121	9
HKU(M)	3848	MY	4	101.9		34121	9
HKU(M)	3849	MY	4	101.9		34121	9
HKU(M)	3851	MY	4	101.9		34121	9
HKU(M)	3852	MY	4.9	100.7		34120	97
HKU(M)	3853-1	MY	4.9	100.7		34120	97
HKU(M)	3853-2	MY	4.9	100.7		34120	97
HKU(M)	3854	MY	2.2	102.2		33402	22
HKU(M)	3855-1	AU	-16.9	145.7		26605	17
HKU(M)	3858-1	CN	26.6	106.7		42046	67
HKU(M)	3858-2	CN	26.6	106.7		42046	67
HKU(M)	3860-1	CN	26.6	106.7		42046	67
HKU(M)	3860-2	CN	26.6	106.7		42046	67
HKU(M)	3862-1	CN	26.6	106.7		42046	67
HKU(M)	3865-1	CN	26.6	106.7		42046	67
HKU(M)	3866	CN	26.6	106.7		42046	67
