ipt:coreid	ipt:guid	ipt:link	ipt:modified	Family	InstitutionCode	InfraspecificEpithet	Remarks	Collector	Kingdom	Locality	Genus	InfraspecificRank	BasisOfRecord	Phylum	MinimumElevationInMeters	SpecificEpithet	Class	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	Order	Continent	CollectionCode
6520	16c3231f-9a54-43d5-a997-64263f3f8c05	http://localhost:8080/data/1/16c3231f-9a54-43d5-a997-64263f3f8c05/detail.html	Thu Sep 25 01:07:03 CEST 2008	Brassicaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to tarn Karagöl, 2120m	Aethionema		PreservedSpecimen	Magnoliophyta	2120	iberideum		Aethionema iberideum (Boiss.) Boiss.	TR	1999-07-31 00:00:00.0	ICBN	1052	(Boiss.) Boiss.	Nigde	Capparales	Asia	B
6521	f5acd7de-22c4-49f6-af45-6b786913a5b6	http://localhost:8080/data/1/f5acd7de-22c4-49f6-af45-6b786913a5b6/detail.html	Thu Sep 25 01:07:03 CEST 2008	Lamiaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Salvia		PreservedSpecimen	Magnoliophyta	2350	virgata		Salvia virgata Jacq.	TR	1999-07-30 00:00:00.0	ICBN	1054	Jacq.	Nigde	Lamiales	Asia	B
6522	c5fb3a6c-4b1d-442c-9833-7bfc56f3eac1	http://localhost:8080/data/1/c5fb3a6c-4b1d-442c-9833-7bfc56f3eac1/detail.html	Thu Sep 25 01:07:03 CEST 2008	Brassicaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Aethionema		PreservedSpecimen	Magnoliophyta	2350	capitatum		Aethionema capitatum Boiss. & Balansa	TR	1999-07-30 00:00:00.0	ICBN	1055	Boiss. & Balansa	Nigde	Capparales	Asia	B
6523	f528238d-9dbf-4114-9915-cf5acc63ce04	http://localhost:8080/data/1/f528238d-9dbf-4114-9915-cf5acc63ce04/detail.html	Thu Sep 25 01:07:03 CEST 2008	Brassicaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Erysimum		PreservedSpecimen	Magnoliophyta	2350	pycnophyllum		Erysimum pycnophyllum Gay	TR	1999-07-30 00:00:00.0	ICBN	1056	Gay	Nigde	Capparales	Asia	B
6524	acd96f09-82c0-4052-b3b9-79cfe6e6b7fa	http://localhost:8080/data/1/acd96f09-82c0-4052-b3b9-79cfe6e6b7fa/detail.html	Thu Sep 25 01:07:03 CEST 2008	Rosaceae	BGBM	muricata		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Sanguisorba	Subspecies	PreservedSpecimen	Magnoliophyta	2350	minor		Sanguisorba minor subsp. muricata (Spach) Briq.	TR	1999-07-30 00:00:00.0	ICBN	1057	(Spach) Briq.	Nigde	Rosales	Asia	B
6525	c8d450e1-3251-46c7-a172-7c375309106e	http://localhost:8080/data/1/c8d450e1-3251-46c7-a172-7c375309106e/detail.html	Thu Sep 25 01:07:03 CEST 2008	Asteraceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Centaurea		PreservedSpecimen	Magnoliophyta	2350	virgata ?A?		Centaurea virgata ?A? Lam.	TR	1999-07-30 00:00:00.0	ICBN	1058	Lam.	Nigde	Asterales	Asia	B
6526	0b92181a-3323-4742-b15a-b281db53112e	http://localhost:8080/data/1/0b92181a-3323-4742-b15a-b281db53112e/detail.html	Thu Sep 25 01:07:03 CEST 2008	Santalaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Thesium		PreservedSpecimen	Magnoliophyta	2350	billardieri		Thesium billardieri Boiss.	TR	1999-07-30 00:00:00.0	ICBN	1059	Boiss.	Nigde	Santalales	Asia	B
6527	b420a0c6-d5cb-4172-8147-064a800346f2	http://localhost:8080/data/1/b420a0c6-d5cb-4172-8147-064a800346f2/detail.html	Thu Sep 25 01:07:03 CEST 2008	Poaceae	BGBM			Markus Döring	Plantae	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Poa		PreservedSpecimen	Magnoliophyta	2180	bulbosa agg.		Poa bulbosa agg. L.	TR	1999-06-21 00:00:00.0	ICBN	106	L.	Mugla	Cyperales	Asia	B
6528	2f9ecaf7-5337-47f5-b9b8-a8dfa12e8b3c	http://localhost:8080/data/1/2f9ecaf7-5337-47f5-b9b8-a8dfa12e8b3c/detail.html	Thu Sep 25 01:07:03 CEST 2008	Cupressaceae	BGBM	oxycedrus		Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Juniperus	Subspecies	PreservedSpecimen	Pinophyta	2350	oxycedrus		Juniperus oxycedrus subsp. oxycedrus	TR	1999-07-30 00:00:00.0	ICBN	1060		Nigde	Pinales	Asia	B
6529	3a5d2a1a-6f2c-4ace-bdd1-445cfea38cac	http://localhost:8080/data/1/3a5d2a1a-6f2c-4ace-bdd1-445cfea38cac/detail.html	Thu Sep 25 01:07:03 CEST 2008	Caryophyllaceae	BGBM			Markus Döring	Plantae	d. Ulukisla, Bolkar Daglari, upper Arpalik (Maden) Deresi, slopes along the road from Darbogaz to Meydan, 2350m	Silene		PreservedSpecimen	Magnoliophyta	2350	pruinosa		Silene pruinosa Boiss.	TR	1999-07-30 00:00:00.0	ICBN	1061	Boiss.	Nigde	Caryophyllales	Asia	B
